TIPUS,VALASZTAS,MEGYE,TELEPULES,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,BUDAPEST,Budapest III. kerület,059,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest III. kerület,060,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest III. kerület,061,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest III. kerület,062,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest III. kerület,063,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,064,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest III. kerület,065,MSZP-PARBESZED,63
Listas,2019EP,BUDAPEST,Budapest III. kerület,066,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest III. kerület,067,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest III. kerület,068,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest III. kerület,069,MSZP-PARBESZED,57
Listas,2019EP,BUDAPEST,Budapest III. kerület,070,MSZP-PARBESZED,60
Listas,2019EP,BUDAPEST,Budapest III. kerület,071,MSZP-PARBESZED,61
Listas,2019EP,BUDAPEST,Budapest III. kerület,072,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest III. kerület,073,MSZP-PARBESZED,62
Listas,2019EP,BUDAPEST,Budapest III. kerület,074,MSZP-PARBESZED,55
Listas,2019EP,BUDAPEST,Budapest III. kerület,075,MSZP-PARBESZED,51
Listas,2019EP,BUDAPEST,Budapest III. kerület,076,MSZP-PARBESZED,65
Listas,2019EP,BUDAPEST,Budapest III. kerület,077,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,078,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,079,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest III. kerület,080,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,081,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,082,MSZP-PARBESZED,60
Listas,2019EP,BUDAPEST,Budapest III. kerület,083,MSZP-PARBESZED,57
Listas,2019EP,BUDAPEST,Budapest III. kerület,084,MSZP-PARBESZED,55
Listas,2019EP,BUDAPEST,Budapest III. kerület,085,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest III. kerület,086,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,087,MSZP-PARBESZED,39
Listas,2019EP,BUDAPEST,Budapest III. kerület,088,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,089,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest III. kerület,090,MSZP-PARBESZED,30
Listas,2019EP,BUDAPEST,Budapest III. kerület,091,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest III. kerület,092,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,093,MSZP-PARBESZED,28
Listas,2019EP,BUDAPEST,Budapest III. kerület,094,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest III. kerület,095,MSZP-PARBESZED,32
Listas,2019EP,BUDAPEST,Budapest III. kerület,096,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest III. kerület,097,MSZP-PARBESZED,59
Listas,2019EP,BUDAPEST,Budapest III. kerület,098,MSZP-PARBESZED,19
Listas,2019EP,BUDAPEST,Budapest III. kerület,099,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,100,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,101,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest III. kerület,102,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest III. kerület,103,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,104,MSZP-PARBESZED,18
Listas,2019EP,BUDAPEST,Budapest III. kerület,105,MSZP-PARBESZED,24
Listas,2019EP,BUDAPEST,Budapest III. kerület,106,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest III. kerület,107,MSZP-PARBESZED,35
Listas,2019EP,BUDAPEST,Budapest III. kerület,108,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,109,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest III. kerület,110,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,111,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,112,MSZP-PARBESZED,27
Listas,2019EP,BUDAPEST,Budapest IV. kerület,001,MSZP-PARBESZED,65
Listas,2019EP,BUDAPEST,Budapest IV. kerület,002,MSZP-PARBESZED,62
Listas,2019EP,BUDAPEST,Budapest IV. kerület,003,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest IV. kerület,004,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest IV. kerület,005,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest IV. kerület,006,MSZP-PARBESZED,81
Listas,2019EP,BUDAPEST,Budapest IV. kerület,007,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest IV. kerület,008,MSZP-PARBESZED,30
Listas,2019EP,BUDAPEST,Budapest IV. kerület,009,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest IV. kerület,010,MSZP-PARBESZED,62
Listas,2019EP,BUDAPEST,Budapest IV. kerület,011,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest IV. kerület,012,MSZP-PARBESZED,32
Listas,2019EP,BUDAPEST,Budapest IV. kerület,013,MSZP-PARBESZED,30
Listas,2019EP,BUDAPEST,Budapest IV. kerület,014,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest IV. kerület,015,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest IV. kerület,016,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest IV. kerület,017,MSZP-PARBESZED,64
Listas,2019EP,BUDAPEST,Budapest IV. kerület,018,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest IV. kerület,019,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest IV. kerület,020,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest IV. kerület,021,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest IV. kerület,022,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest IV. kerület,023,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest IV. kerület,024,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest IV. kerület,025,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest IV. kerület,026,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest IV. kerület,027,MSZP-PARBESZED,64
Listas,2019EP,BUDAPEST,Budapest IV. kerület,028,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest IV. kerület,029,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest IV. kerület,030,MSZP-PARBESZED,28
Listas,2019EP,BUDAPEST,Budapest IV. kerület,031,MSZP-PARBESZED,32
Listas,2019EP,BUDAPEST,Budapest IV. kerület,032,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest IV. kerület,033,MSZP-PARBESZED,29
Listas,2019EP,BUDAPEST,Budapest IV. kerület,034,MSZP-PARBESZED,19
Listas,2019EP,BUDAPEST,Budapest IV. kerület,035,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest IV. kerület,036,MSZP-PARBESZED,27
Listas,2019EP,BUDAPEST,Budapest IV. kerület,037,MSZP-PARBESZED,25
Listas,2019EP,BUDAPEST,Budapest IV. kerület,038,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest IV. kerület,039,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest IV. kerület,040,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest IV. kerület,041,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest IV. kerület,042,MSZP-PARBESZED,29
Listas,2019EP,BUDAPEST,Budapest IV. kerület,043,MSZP-PARBESZED,47
Listas,2019EP,BUDAPEST,Budapest IV. kerület,044,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest IV. kerület,045,MSZP-PARBESZED,48
