SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK
01-002-008,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1. (Ált. Isk.),Nem,Nem
01-002-009,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1. (Ált. Isk.),Nem,Nem
01-002-010,01,BUDAPEST,04,002,Budapest II. kerület,Felvinci út 6-8. (Kollégium),Nem,Nem
01-002-011,01,BUDAPEST,04,002,Budapest II. kerület,Keleti K. u. 37. (II. Rákóczi F.Gimn.),Igen,Igen
01-002-012,01,BUDAPEST,04,002,Budapest II. kerület,Fillér u. 70-76. (Fillér Ált. Isk.),Nem,Nem
01-002-013,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 41. (Bölcsõde),Nem,Nem
01-002-014,01,BUDAPEST,04,002,Budapest II. kerület,Fillér utca 70-76. (Fillér Ált. Isk.),Nem,Nem
01-002-015,01,BUDAPEST,04,002,Budapest II. kerület,Fillér u. 70-76. (Fillér Ált. Isk.),Nem,Nem
01-002-016,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 18. (Kézmûv. Óvoda),Igen,Nem
01-002-017,01,BUDAPEST,04,002,Budapest II. kerület,Pitypang u. 17. (Ált. Isk.),Nem,Nem
01-002-018,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 67. (Ált. Isk.),Nem,Nem
01-002-019,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 48-54. (Móricz Zs. Gimn.),Nem,Nem
01-002-020,01,BUDAPEST,04,002,Budapest II. kerület,Fenyves u. 1. (Ált. Isk.),Nem,Nem
01-002-021,01,BUDAPEST,04,002,Budapest II. kerület,Hûvösvölgyi út 12/B. (Bölcsõde),Igen,Nem
01-002-022,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 48-54. (Móricz Zs. Gimn.),Nem,Nem
01-002-023,01,BUDAPEST,04,002,Budapest II. kerület,Pitypang u. 17. (Óvoda),Igen,Nem
01-002-024,01,BUDAPEST,04,002,Budapest II. kerület,Pitypang u. 17. (Óvoda),Igen,Nem
01-002-025,01,BUDAPEST,04,002,Budapest II. kerület,Pitypang u. 17. (Ált. Isk.),Nem,Nem
01-002-026,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 67. (Ált. Isk.),Nem,Nem
01-002-027,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),Nem,Nem
01-002-028,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),Nem,Nem
01-002-029,01,BUDAPEST,04,002,Budapest II. kerület,Hûvösvölgyi út 12/B. (Bölcsõde),Igen,Nem
01-002-030,01,BUDAPEST,04,002,Budapest II. kerület,Hûvösvölgyi út 12/B. (Bölcsõde),Igen,Nem
01-002-031,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),Nem,Nem
01-002-032,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 191-193. (Szabó L. Ált. Isk. és Gimn.),Nem,Nem
01-002-033,01,BUDAPEST,04,002,Budapest II. kerület,Völgy u. 1-3. (Óvoda),Igen,Nem
01-002-034,01,BUDAPEST,04,002,Budapest II. kerület,Völgy u. 1-3. (Óvoda),Igen,Nem
01-002-035,01,BUDAPEST,04,002,Budapest II. kerület,Máriaremetei út 71. (Ált. Isk.),Igen,Nem
01-002-036,01,BUDAPEST,04,002,Budapest II. kerület,Kossuth L. u. 15-17. (Ált. Isk.),Nem,Nem
01-002-037,01,BUDAPEST,04,002,Budapest II. kerület,Kossuth L. u. 15-17.  (Ált. Isk.),Nem,Nem
01-002-038,01,BUDAPEST,04,002,Budapest II. kerület,Kossuth L. u. 15-17. (Ált. Isk.),Nem,Nem
01-002-039,01,BUDAPEST,04,002,Budapest II. kerület,Templom u. 2-10. (Klebelsberg K. Mûv. Közp.),Igen,Nem
01-002-040,01,BUDAPEST,04,002,Budapest II. kerület,Templom u. 2-10. (Klebelsberg K. Mûv. Közp.),Igen,Nem
01-002-041,01,BUDAPEST,04,002,Budapest II. kerület,Templom u. 2-10.  (Klebelsberg K. Mûv. Közp.),Igen,Nem
01-002-042,01,BUDAPEST,04,002,Budapest II. kerület,Máriaremetei út 185. (Óvoda),Nem,Nem
01-002-043,01,BUDAPEST,04,002,Budapest II. kerület,Hímes u. 3. (Cserkészház),Igen,Nem
01-002-044,01,BUDAPEST,04,002,Budapest II. kerület,Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.),Igen,Nem
01-002-045,01,BUDAPEST,04,002,Budapest II. kerület,Máriaremetei út 185. (Óvoda),Nem,Nem
01-002-046,01,BUDAPEST,04,002,Budapest II. kerület,Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.),Igen,Nem
01-002-047,01,BUDAPEST,04,002,Budapest II. kerület,Máriaremetei út 185. (Óvoda),Nem,Nem
01-002-048,01,BUDAPEST,04,002,Budapest II. kerület,Máriaremetei út 71. (Ált. Isk.),Igen,Nem
01-002-049,01,BUDAPEST,04,002,Budapest II. kerület,Kútföldi út 1. (Közösségi Ház),Igen,Nem
01-002-050,01,BUDAPEST,03,002,Budapest II. kerület,Labanc u. 2. (Óvoda),Igen,Nem
01-002-051,01,BUDAPEST,03,002,Budapest II. kerület,Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.),Nem,Nem
01-002-052,01,BUDAPEST,03,002,Budapest II. kerület,Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.),Nem,Nem
01-002-053,01,BUDAPEST,03,002,Budapest II. kerület,Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.),Nem,Nem
01-002-054,01,BUDAPEST,03,002,Budapest II. kerület,Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.),Nem,Nem
01-002-055,01,BUDAPEST,03,002,Budapest II. kerület,Pasaréti út 41. (Bölcsõde),Nem,Nem
01-002-056,01,BUDAPEST,03,002,Budapest II. kerület,Érmelléki út 12. (Óvoda),Nem,Nem
01-002-057,01,BUDAPEST,03,002,Budapest II. kerület,Érmelléki út 12. (Óvoda),Nem,Nem
01-002-058,01,BUDAPEST,03,002,Budapest II. kerület,Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.),Nem,Nem
01-002-059,01,BUDAPEST,03,002,Budapest II. kerület,Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.),Nem,Nem
01-002-060,01,BUDAPEST,03,002,Budapest II. kerület,Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.),Nem,Nem
01-002-061,01,BUDAPEST,03,002,Budapest II. kerület,Keleti K. u. 37. (II. Rákóczi F. Gimn.),Igen,Nem
01-002-062,01,BUDAPEST,03,002,Budapest II. kerület,Keleti K. u. 37. (II. Rákóczi F. Gimn.),Igen,Nem
01-002-063,01,BUDAPEST,03,002,Budapest II. kerület,Keleti K. u. 37. (II. Rákóczi F. Gimn.),Igen,Nem
01-002-064,01,BUDAPEST,03,002,Budapest II. kerület,Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.),Nem,Nem
01-002-065,01,BUDAPEST,03,002,Budapest II. kerület,Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.),Nem,Nem
01-002-066,01,BUDAPEST,03,002,Budapest II. kerület,Bem J. tér 2. (Gondozási Központ),Igen,Nem
01-002-067,01,BUDAPEST,03,002,Budapest II. kerület,Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.),Igen,Nem
01-002-068,01,BUDAPEST,03,002,Budapest II. kerület,Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.),Igen,Nem
01-002-069,01,BUDAPEST,03,002,Budapest II. kerület,Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.),Nem,Nem
01-002-070,01,BUDAPEST,03,002,Budapest II. kerület,Kapás u. 55. (Budai Táncklub),Nem,Nem
01-002-071,01,BUDAPEST,03,002,Budapest II. kerület,Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.),Igen,Nem
01-002-072,01,BUDAPEST,03,002,Budapest II. kerület,Varsányi I. u. 32. (Bölcsõde),Igen,Nem
01-002-073,01,BUDAPEST,03,002,Budapest II. kerület,Varsányi I. u. 32. (Bölcsõde),Igen,Nem
01-002-074,01,BUDAPEST,03,002,Budapest II. kerület,Labanc u. 2. (Óvoda),Igen,Nem
01-003-001,01,BUDAPEST,04,003,Budapest III. kerület,Árpád fejedelem útja 60. (Óvoda),Igen,Nem
01-003-002,01,BUDAPEST,04,003,Budapest III. kerület,Árpád fejedelem útja 60. (Óvoda),Igen,Nem
01-003-003,01,BUDAPEST,04,003,Budapest III. kerület,Mókus utca 2. (Általános Iskola),Nem,Nem
01-003-004,01,BUDAPEST,04,003,Budapest III. kerület,Nagyszombat utca 19. (Árpád Gimnázium),Nem,Nem
01-003-005,01,BUDAPEST,04,003,Budapest III. kerület,Nagyszombat utca 19. (Árpád Gimnázium),Nem,Nem
01-003-006,01,BUDAPEST,04,003,Budapest III. kerület,Nagyszombat utca 19. (Árpád Gimnázium),Igen,Nem
01-003-007,01,BUDAPEST,04,003,Budapest III. kerület,San Marco utca 81. (Óbudai Kulturális Központ),Igen,Nem
01-003-008,01,BUDAPEST,04,003,Budapest III. kerület,San Marco utca 81. (Óbudai Kulturális Központ),Igen,Nem
01-003-009,01,BUDAPEST,04,003,Budapest III. kerület,San Marco utca 81. (Óbudai Kulturális Központ),Igen,Nem
01-003-010,01,BUDAPEST,04,003,Budapest III. kerület,Nagyszombat utca 19. (Árpád Gimnázium),Nem,Nem
01-003-011,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 96/B. (Óbudai Egyetem),Igen,Nem
01-003-012,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 96/B. (Óbudai Egyetem),Igen,Nem
01-003-013,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 96/B. (Óbudai Egyetem),Igen,Nem
01-003-014,01,BUDAPEST,04,003,Budapest III. kerület,Erdõalja út 5. (Általános Iskola),Nem,Nem
01-003-015,01,BUDAPEST,04,003,Budapest III. kerület,Erdõalja út 5. (Általános Iskola),Nem,Nem
01-003-016,01,BUDAPEST,04,003,Budapest III. kerület,Erdõalja út 5. (Általános Iskola),Nem,Nem
01-003-017,01,BUDAPEST,04,003,Budapest III. kerület,Erdõalja út 5. (Általános Iskola),Nem,Nem
01-003-018,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 375. (Általános Iskola),Nem,Nem
01-003-019,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 375. (Általános Iskola),Nem,Nem
01-003-020,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 375. (Általános Iskola),Nem,Nem
01-003-021,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 375. (Általános Iskola),Nem,Nem
01-003-022,01,BUDAPEST,04,003,Budapest III. kerület,Bécsi út 375. (Általános Iskola),Nem,Nem
01-003-023,01,BUDAPEST,04,003,Budapest III. kerület,Ürömi út 2. (Óvoda),Igen,Nem
01-003-024,01,BUDAPEST,04,003,Budapest III. kerület,Ürömi út 2. (Óvoda),Igen,Nem
01-003-025,01,BUDAPEST,04,003,Budapest III. kerület,Ürömi út 2. (Óvoda),Igen,Nem
01-003-026,01,BUDAPEST,04,003,Budapest III. kerület,Dózsa György utca 42. (Általános Iskola),Igen,Nem
01-003-027,01,BUDAPEST,04,003,Budapest III. kerület,Dózsa György utca 42. (Általános Iskola),Igen,Nem
01-003-028,01,BUDAPEST,04,003,Budapest III. kerület,Dózsa György utca 42. (Általános Iskola),Igen,Nem
01-003-029,01,BUDAPEST,04,003,Budapest III. kerület,Templom utca 5. (Általános Iskola),Nem,Nem
01-003-030,01,BUDAPEST,04,003,Budapest III. kerület,Templom utca 5. (Általános Iskola),Nem,Nem
01-003-031,01,BUDAPEST,10,003,Budapest III. kerület,Mókus utca 1. (Óvoda),Nem,Nem
01-003-032,01,BUDAPEST,10,003,Budapest III. kerület,Mókus utca 2. (Általános Iskola),Nem,Nem
01-003-033,01,BUDAPEST,10,003,Budapest III. kerület,Mókus utca 2. (Általános Iskola),Nem,Nem
01-003-034,01,BUDAPEST,10,003,Budapest III. kerület,Solymár utca 12. (Bölcsõde),Igen,Nem
01-003-035,01,BUDAPEST,10,003,Budapest III. kerület,Zápor utca 90. (Általános Iskola),Nem,Nem
01-003-036,01,BUDAPEST,10,003,Budapest III. kerület,Zápor utca 90. (Általános Iskola),Nem,Nem
01-003-037,01,BUDAPEST,10,003,Budapest III. kerület,San Marco utca 81. (Óbudai Kulturális Központ),Igen,Nem
01-003-038,01,BUDAPEST,10,003,Budapest III. kerület,Váradi utca 15/B. (Általános Iskola),Nem,Nem
01-003-039,01,BUDAPEST,10,003,Budapest III. kerület,Váradi utca 15/A. (Óvoda),Igen,Nem
01-003-040,01,BUDAPEST,10,003,Budapest III. kerület,Váradi utca 15/B. (Általános Iskola),Nem,Nem
01-003-041,01,BUDAPEST,10,003,Budapest III. kerület,Váradi utca 15/B. (Általános Iskola),Nem,Nem
01-003-042,01,BUDAPEST,10,003,Budapest III. kerület,Harrer Pál utca 7. (Általános Iskola),Igen,Igen
01-003-043,01,BUDAPEST,10,003,Budapest III. kerület,Harrer Pál utca 7. (Általános Iskola),Igen,Nem
01-003-044,01,BUDAPEST,10,003,Budapest III. kerület,Harrer Pál utca 7. (Általános Iskola),Igen,Nem
01-003-045,01,BUDAPEST,10,003,Budapest III. kerület,Szentendrei út 9. (Alternatív Közgazdasági Gimn.),Igen,Nem
01-003-046,01,BUDAPEST,10,003,Budapest III. kerület,Szentendrei út 9. (Alternatív Közgazdasági Gimn.),Igen,Nem
01-003-047,01,BUDAPEST,10,003,Budapest III. kerület,Gázgyári lakótelepi Óvoda,Igen,Nem
01-003-048,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-049,01,BUDAPEST,10,003,Budapest III. kerület,Szél utca 11-13. (Szakkollégium),Nem,Nem
01-003-050,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-051,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-052,01,BUDAPEST,10,003,Budapest III. kerület,Vörösvári út 93. (Általános Iskola),Nem,Nem
01-003-053,01,BUDAPEST,10,003,Budapest III. kerület,Meggyfa utca 14. (Óvoda),Igen,Nem
01-003-054,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-055,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-056,01,BUDAPEST,10,003,Budapest III. kerület,Kerék utca 18-20. (Általános Iskola),Igen,Nem
01-003-057,01,BUDAPEST,10,003,Budapest III. kerület,"Szellõ utca 9-11. (Óvoda, Általános Iskola)",Igen,Nem
01-003-058,01,BUDAPEST,10,003,Budapest III. kerület,Meggyfa utca 14. (Óvoda),Igen,Nem
01-003-059,01,BUDAPEST,10,003,Budapest III. kerület,"Szellõ utca 9-11. (Óvoda, Általános Iskola)",Igen,Nem
01-003-060,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 40. (Általános Iskola),Nem,Nem
01-003-061,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 40. (Általános Iskola),Nem,Nem
01-003-062,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 40. (Általános Iskola),Nem,Nem
01-003-063,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 37. (Óvoda),Igen,Nem
01-003-064,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 40. (Általános Iskola),Nem,Nem
01-003-065,01,BUDAPEST,10,003,Budapest III. kerület,Szérûskert utca 40. (Általános Iskola),Igen,Nem
01-003-066,01,BUDAPEST,10,003,Budapest III. kerület,Gyógyszergyár utca 22-24. (Általános Iskola),Nem,Nem
01-003-067,01,BUDAPEST,10,003,Budapest III. kerület,Gyógyszergyár utca 22-24. (Általános Iskola),Igen,Nem
01-003-068,01,BUDAPEST,10,003,Budapest III. kerület,Keve utca 41. (Általános Iskola),Nem,Nem
01-003-069,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-070,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-071,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Igen,Nem
01-003-072,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-073,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-074,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-075,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-076,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 1. (Általános Iskola),Nem,Nem
01-003-077,01,BUDAPEST,10,003,Budapest III. kerület,Arató Emil tér 2. (Óvoda),Igen,Nem
01-003-078,01,BUDAPEST,10,003,Budapest III. kerület,Keve utca 41. (Általános Iskola),Nem,Nem
01-003-079,01,BUDAPEST,10,003,Budapest III. kerület,Keve utca 41. (Általános Iskola),Nem,Nem
01-003-080,01,BUDAPEST,10,003,Budapest III. kerület,Keve utca 41. (Általános Iskola),Nem,Nem
01-003-081,01,BUDAPEST,10,003,Budapest III. kerület,Keve utca 41. (Általános Iskola),Nem,Nem
01-003-082,01,BUDAPEST,10,003,Budapest III. kerület,Hunyadi utca 8-10. (Óvoda),Igen,Nem
01-003-083,01,BUDAPEST,10,003,Budapest III. kerület,Fodros utca 38-40. (Általános Iskola),Nem,Nem
01-003-084,01,BUDAPEST,10,003,Budapest III. kerület,Királyok útja 178/E. (Általános Iskola),Igen,Nem
01-003-085,01,BUDAPEST,10,003,Budapest III. kerület,Királyok útja 178/E. (Általános Iskola),Igen,Nem
01-003-086,01,BUDAPEST,10,003,Budapest III. kerület,Medgyessy Ferenc utca 2-4. (Általános Iskola),Nem,Nem
01-003-087,01,BUDAPEST,10,003,Budapest III. kerület,Medgyessy Ferenc utca 2-4. (Általános Iskola),Nem,Nem
01-003-088,01,BUDAPEST,10,003,Budapest III. kerület,Medgyessy Ferenc utca 2-4. (Általános Iskola),Nem,Nem
01-003-089,01,BUDAPEST,10,003,Budapest III. kerület,Medgyessy Ferenc utca 2-4. (Általános Iskola),Nem,Nem
01-003-090,01,BUDAPEST,10,003,Budapest III. kerület,Medgyessy Ferenc utca 2-4. (Általános Iskola),Nem,Nem
01-003-091,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 1-3. (Általános Iskola),Nem,Nem
01-003-092,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 1-3. (Általános Iskola),Nem,Nem
01-003-093,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 1-3. (Általános Iskola),Nem,Nem
01-003-094,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 1-3. (Általános Iskola),Nem,Nem
01-003-095,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-096,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-097,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-098,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-099,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-100,01,BUDAPEST,10,003,Budapest III. kerület,Zipernowsky Károly utca 4. (Szakiskola),Igen,Nem
01-003-101,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-102,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-103,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-104,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-105,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-106,01,BUDAPEST,10,003,Budapest III. kerület,Bárczi Géza utca 2. (Általános Iskola),Igen,Nem
01-003-107,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Igen,Nem
01-003-108,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Nem,Nem
01-003-109,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Nem,Nem
01-003-110,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Nem,Nem
01-003-111,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Igen,Nem
01-003-112,01,BUDAPEST,10,003,Budapest III. kerület,Pais Dezsõ utca 1-3. (Általános Iskola),Igen,Nem
01-004-001,01,BUDAPEST,11,004,Budapest IV. kerület,Homoktövis utca 100. (Homoktövis Általános Isk.),Igen,Nem
01-004-002,01,BUDAPEST,11,004,Budapest IV. kerület,Homoktövis utca 100. (Homoktövis Általános Isk.),Igen,Nem
01-004-003,01,BUDAPEST,11,004,Budapest IV. kerület,Homoktövis utca 100. (Homoktövis Általános Isk.),Igen,Nem
01-004-004,01,BUDAPEST,11,004,Budapest IV. kerület,Homoktövis utca 100. (Homoktövis Általános Isk.),Igen,Nem
01-004-005,01,BUDAPEST,11,004,Budapest IV. kerület,Homoktövis utca 100. (Homoktövis Általános Isk.),Igen,Nem
01-004-006,01,BUDAPEST,11,004,Budapest IV. kerület,Bõrfestõ utca 5-9. (Csokonai Gimn. és Ált. Isk.),Igen,Nem
01-004-007,01,BUDAPEST,11,004,Budapest IV. kerület,Bõrfestõ utca 5-9. (Csokonai Gimn. és Ált. Isk.),Igen,Nem
01-004-008,01,BUDAPEST,11,004,Budapest IV. kerület,Bõrfestõ utca 5-9. (Csokonai Gimn. és Ált. Isk.),Igen,Nem
01-004-009,01,BUDAPEST,11,004,Budapest IV. kerület,Tóth Aladár utca 16-18. (Babits Gimnázium),Igen,Nem
01-004-010,01,BUDAPEST,11,004,Budapest IV. kerület,Tóth Aladár utca 16-18. (Babits Gimnázium),Igen,Nem
01-004-011,01,BUDAPEST,11,004,Budapest IV. kerület,Tóth Aladár utca 16-18. (Babits Gimnázium),Igen,Nem
01-004-012,01,BUDAPEST,11,004,Budapest IV. kerület,Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK),Igen,Nem
01-004-013,01,BUDAPEST,11,004,Budapest IV. kerület,Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK),Igen,Nem
01-004-014,01,BUDAPEST,11,004,Budapest IV. kerület,Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK),Igen,Nem
01-004-015,01,BUDAPEST,11,004,Budapest IV. kerület,Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK),Igen,Nem
01-004-016,01,BUDAPEST,11,004,Budapest IV. kerület,Megyeri út 20. (Megyeri Általános Isk.),Igen,Nem
01-004-017,01,BUDAPEST,11,004,Budapest IV. kerület,Megyeri út 20. (Megyeri Általános Isk.),Igen,Nem
01-004-018,01,BUDAPEST,11,004,Budapest IV. kerület,Megyeri út 20. (Megyeri Általános Isk.),Igen,Nem
