SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_BELYEGZES_NELKULI,URNABAN_LEBELYEGZETT,ELTERES,ERVENYTELEN,ERVENYES
01-002-039,993,765,0,765,0,8,757
01-002-040,847,634,0,636,2,27,609
01-002-041,804,589,0,587,-2,8,579
01-002-042,803,585,0,585,0,5,580
01-002-043,852,624,0,621,-3,4,617
01-002-044,972,745,0,744,-1,4,740
01-002-045,907,654,0,654,0,4,650
01-002-046,891,695,0,695,0,2,693
01-002-047,939,710,0,710,0,2,708
01-002-048,902,672,1,666,-6,3,663
01-002-049,918,697,0,696,-1,9,687
01-002-050,885,619,0,619,0,4,615
01-002-051,740,578,1,577,-1,6,571
01-002-052,673,494,0,492,-2,3,489
01-002-053,681,529,0,527,-2,5,522
01-002-054,987,680,0,678,-2,6,672
01-002-055,860,621,0,623,2,27,596
01-002-056,755,531,0,531,0,5,526
01-002-057,747,573,0,572,-1,6,566
01-002-058,949,632,1,629,-3,2,627
01-002-059,772,563,0,564,1,15,549
01-002-060,786,535,0,532,-3,4,528
01-002-061,899,639,0,637,-2,2,635
01-002-062,618,421,0,418,-3,5,413
01-002-063,801,588,0,588,0,3,585
01-002-064,839,590,0,590,0,7,583
01-002-065,907,631,0,631,0,3,628
01-002-066,948,648,0,645,-3,6,639
01-002-067,778,502,0,499,-3,3,496
01-002-068,824,589,0,590,1,15,575
01-002-069,967,633,0,627,-6,2,625
01-002-070,830,577,0,575,-2,5,570
01-002-071,855,589,0,589,0,5,584
01-002-072,917,643,0,643,0,5,638
01-002-073,906,637,0,638,1,14,624
01-002-074,784,530,1,529,-1,2,527
01-002-111,532,456,0,456,0,3,453
01-003-001,874,607,0,586,-21,7,579
01-003-002,803,560,0,562,2,25,537
01-003-003,987,626,0,625,-1,4,621
01-003-004,977,700,0,699,-1,5,694
01-003-005,672,412,0,411,-1,5,406
01-003-006,1092,741,0,741,0,2,739
01-003-007,912,619,0,619,0,4,615
01-003-008,801,540,0,539,-1,4,535
01-003-009,906,643,0,640,-3,6,634
01-003-010,837,596,0,596,0,0,596
01-003-011,933,650,0,650,0,5,645
01-003-012,932,698,1,686,-12,2,684
01-003-013,930,644,3,643,-1,3,640
01-003-014,860,632,0,630,-2,16,614
01-003-015,796,585,0,585,0,8,577
01-003-016,811,609,0,609,0,4,605
01-003-017,874,635,1,633,-2,1,632
01-003-018,1145,815,0,814,-1,12,802
01-003-019,1247,922,0,922,0,8,914
01-003-020,1312,855,0,854,-1,7,847
01-003-021,1311,942,0,939,-3,7,932
01-003-022,1321,980,0,980,0,3,977
01-003-023,953,693,0,695,2,23,672
01-003-024,1034,741,0,741,0,1,740
01-003-025,749,512,0,512,0,1,511
01-003-026,743,514,0,512,-2,3,509
01-003-027,886,634,0,633,-1,6,627
01-003-028,952,658,0,658,0,3,655
01-003-029,918,649,0,647,-2,8,639
01-003-030,919,658,0,657,-1,1,656
01-003-031,842,519,0,518,-1,5,513
01-003-032,931,656,0,656,0,1,655
01-003-033,843,563,0,563,0,6,557
01-003-034,778,521,0,521,0,4,517
01-003-035,806,503,0,504,1,13,491
01-003-036,771,528,0,528,0,3,525
01-003-037,900,634,0,634,0,2,632
01-003-038,755,494,0,494,0,3,491
01-003-039,747,499,0,500,1,17,483
01-003-040,698,426,0,423,-3,5,418
01-003-041,754,455,0,453,-2,7,446
01-003-042,937,404,0,404,0,4,400
01-003-043,881,560,0,560,0,0,560
01-003-044,767,543,2,542,-1,10,532
01-003-045,1108,645,0,645,0,5,640
01-003-046,1050,667,0,667,0,0,667
01-003-047,614,396,0,397,1,16,381
01-003-048,794,472,0,472,0,1,471
01-003-049,846,548,0,548,0,4,544
01-003-050,809,535,0,536,1,13,523
01-003-051,770,524,1,524,0,2,522
01-003-052,980,691,0,690,-1,2,688
01-003-053,773,537,0,533,-4,2,531
01-003-054,905,644,2,644,0,0,644
01-003-055,803,522,0,522,0,0,522
01-003-056,821,537,0,536,-1,3,533
01-003-057,887,554,0,555,1,15,540
01-003-058,787,512,0,512,0,3,509
01-003-059,748,581,0,581,0,4,577
01-003-060,822,563,0,563,0,2,561
01-003-061,868,561,0,561,0,2,559
01-003-062,871,511,0,511,0,1,510
01-003-063,847,527,0,528,1,15,513
01-003-064,741,513,0,513,0,3,510
01-003-065,966,679,0,680,1,16,664
01-003-066,813,562,0,562,0,3,559
01-003-067,809,566,0,563,-3,6,557
01-003-068,815,611,0,611,0,5,606
01-003-069,755,529,0,531,2,29,502
01-003-070,763,534,0,534,0,0,534
01-003-071,844,619,0,618,-1,0,618
01-003-072,870,621,0,618,-3,4,614
01-003-073,775,566,0,566,0,5,561
01-003-074,860,647,0,647,0,5,642
01-003-075,695,523,0,523,0,4,519
01-003-076,987,720,0,719,-1,2,717
01-003-077,820,600,0,600,0,2,598
01-003-078,837,598,0,597,-1,5,592
01-003-079,905,673,0,674,1,17,657
01-003-080,925,684,0,681,-3,4,677
01-003-081,962,731,0,730,-1,4,726
01-003-082,986,755,0,755,0,5,750
01-003-083,1043,816,0,813,-3,3,810
01-003-084,986,729,0,727,-2,5,722
01-003-085,771,507,0,506,-1,4,502
01-003-086,751,430,0,430,0,3,427
01-003-087,888,523,0,523,0,3,520
01-003-088,809,514,0,514,0,6,508
01-003-089,942,602,0,602,0,4,598
01-003-090,796,430,0,430,0,1,429
01-003-091,781,494,1,493,-1,1,492
01-003-092,826,504,0,504,0,4,500
01-003-093,847,521,1,520,-1,3,517
01-003-094,769,519,0,518,-1,5,513
01-003-095,821,490,0,489,-1,2,487
01-003-096,906,564,0,564,0,4,560
01-003-097,941,552,0,552,0,6,546
01-003-098,681,360,0,360,0,2,358
01-003-099,924,511,0,511,0,3,508
01-003-100,828,454,1,454,0,9,445
01-003-101,846,448,0,448,0,7,441
01-003-102,833,513,0,513,0,2,511
01-003-103,826,528,0,528,0,5,523
01-003-104,746,460,0,459,-1,4,455
01-003-105,706,438,0,439,1,18,421
01-003-106,795,532,0,533,1,13,520
01-003-107,754,491,0,491,0,2,489
01-003-108,817,512,0,512,0,5,507
01-003-109,774,512,0,513,1,18,495
01-003-110,765,474,0,474,0,4,470
01-003-111,714,442,0,429,-13,5,424
01-003-112,784,437,0,437,0,9,428
01-003-200,623,506,0,506,0,0,506
01-004-001,1173,893,0,895,2,28,867
01-004-002,1108,708,0,698,-10,4,694
01-004-003,888,570,0,569,-1,3,566
01-004-004,1194,916,0,916,0,4,912
01-004-005,1123,763,0,761,-2,2,759
01-004-006,1015,626,0,625,-1,4,621
01-004-007,1041,748,0,749,1,15,734
01-004-008,1047,650,0,648,-2,1,647
01-004-009,1219,708,0,708,0,1,707
01-004-010,1140,732,0,718,-14,0,718
01-004-011,1070,732,0,733,1,18,715
01-004-012,1020,619,0,619,0,7,612
01-004-013,1099,644,0,644,0,3,641
01-004-014,1021,643,0,642,-1,5,637
01-004-015,1066,722,0,722,0,3,719
01-004-016,1017,697,0,697,0,2,695
01-004-017,1106,778,0,778,0,5,773
01-004-018,1068,777,0,776,-1,3,773
01-004-019,1021,583,0,583,0,8,575
01-004-020,1010,655,0,655,0,5,650
01-004-021,1283,885,0,885,0,0,885
01-004-022,1029,711,0,711,0,5,706
01-004-023,1075,714,0,715,1,16,699
01-004-024,1133,753,0,753,0,5,748
01-004-025,980,635,0,634,-1,6,628
01-004-026,1112,792,0,792,0,6,786
01-004-027,1059,710,0,708,-2,2,706
01-004-028,1075,795,0,795,0,3,792
01-004-029,1034,660,0,660,0,7,653
01-004-030,1214,700,0,700,0,10,690
01-004-031,966,523,0,522,-1,8,514
01-004-032,938,644,1,643,-1,2,641
01-004-033,923,562,0,559,-3,2,557
01-004-034,974,461,0,461,0,2,459
01-004-035,1049,541,0,528,-13,5,523
01-004-036,1273,825,1,825,0,8,817
01-004-037,1373,770,0,769,-1,9,760
01-004-038,1034,618,0,618,0,4,614
01-004-039,931,658,0,643,-15,1,642
01-004-040,915,540,0,540,0,7,533
01-004-041,1024,675,0,665,-10,8,657
01-004-042,814,520,0,520,0,4,516
01-004-043,1011,623,0,625,2,24,601
01-004-044,1013,604,0,604,0,2,602
01-004-045,1059,670,0,670,0,7,663
01-004-046,1147,788,0,786,-2,6,780
01-004-047,936,580,0,579,-1,5,574
01-004-048,959,553,0,553,0,5,548
01-004-049,1245,779,0,775,-4,4,771
01-004-050,1157,719,0,719,0,9,710
01-004-051,1020,494,0,489,-5,5,484
01-004-052,860,568,0,568,0,4,564
01-004-053,842,490,0,487,-3,6,481
01-004-054,997,639,0,639,0,8,631
01-004-055,1018,635,0,635,0,10,625
01-004-056,1061,673,0,672,-1,7,665
01-004-057,866,520,0,519,-1,5,514
01-004-058,1212,748,0,747,-1,5,742
01-004-059,926,533,0,532,-1,7,525
01-004-060,1056,610,0,610,0,3,607
01-004-061,1157,694,0,695,1,19,676
01-004-062,945,579,0,579,0,4,575
01-004-063,1310,632,0,631,-1,2,629
01-004-064,1087,671,0,668,-3,1,667
01-004-065,998,591,0,589,-2,6,583
01-004-066,1062,620,0,612,-8,1,611
01-004-067,1009,616,0,616,0,4,612
01-004-068,1109,633,1,631,-2,4,627
01-004-069,1057,612,0,612,0,5,607
01-004-070,1091,665,0,664,-1,3,661
01-004-080,360,303,0,303,0,0,303
01-005-001,864,546,0,544,-2,3,541
01-005-002,1094,672,0,672,0,6,666
01-005-003,894,619,0,615,-4,3,612
01-005-004,1106,745,0,745,0,4,741
01-005-005,1043,633,0,630,-3,8,622
01-005-006,982,628,0,628,0,7,621
01-005-007,800,506,0,511,5,47,464
01-005-008,1181,678,0,677,-1,7,670
01-005-009,978,621,0,620,-1,7,613
01-005-010,1212,749,0,749,0,10,739
01-005-011,1165,718,0,716,-2,7,709
01-005-012,975,644,0,644,0,7,637
01-005-013,949,635,0,635,0,2,633
01-005-014,1168,782,0,782,0,4,778
01-005-015,1080,678,0,678,0,9,669
01-005-016,1075,689,0,690,1,23,667
01-005-017,325,284,1,283,-1,2,281
01-006-001,712,383,0,383,0,3,380
01-006-002,595,327,0,327,0,3,324
01-006-003,633,349,0,349,0,2,347
01-006-004,711,410,0,410,0,2,408
01-006-005,728,425,0,425,0,3,422
01-006-006,632,333,0,333,0,4,329
01-006-007,654,342,0,342,0,4,338
01-006-008,581,308,0,307,-1,1,306
01-006-009,645,356,1,353,-3,3,350
01-006-010,638,352,0,350,-2,1,349
01-006-011,656,407,2,410,3,26,384
01-006-012,765,453,0,453,0,7,446
01-006-013,716,403,0,406,3,29,377
01-006-014,870,473,0,473,0,3,470
01-006-015,854,521,0,519,-2,3,516
01-006-016,795,440,0,440,0,2,438
01-006-017,853,487,0,487,0,3,484
01-006-018,915,547,0,547,0,4,543
01-006-019,910,522,0,523,1,12,511
01-006-020,747,459,2,457,-2,3,454
01-006-021,950,596,0,594,-2,7,587
01-006-022,810,452,0,452,0,5,447
01-006-023,952,613,0,609,-4,6,603
01-006-024,873,535,0,529,-6,3,526
01-006-025,600,349,0,349,0,3,346
01-006-026,1038,671,0,672,1,15,657
01-006-027,844,515,0,515,0,4,511
01-006-028,789,479,0,479,0,3,476
01-006-029,892,583,0,582,-1,2,580
01-006-030,770,511,0,511,0,8,503
01-007-001,888,508,0,507,-1,10,497
01-007-002,1042,586,1,586,0,9,577
01-007-003,952,490,0,489,-1,2,487
01-007-004,422,216,0,216,0,0,216
01-007-005,989,366,2,366,0,5,361
01-007-006,849,496,0,495,-1,6,489
01-007-007,1003,453,0,453,0,4,449
01-007-008,543,267,0,266,-1,11,255
01-007-009,624,327,0,328,1,11,317
01-007-010,902,471,0,471,0,4,467
01-007-011,940,550,0,549,-1,1,548
01-007-012,656,369,1,369,0,4,365
01-007-013,906,531,0,531,0,11,520
01-007-014,842,466,0,466,0,5,461
01-007-015,1042,658,0,657,-1,5,652
01-007-016,750,381,0,380,-1,1,379
01-007-017,737,428,0,428,0,6,422
01-007-018,972,528,0,528,0,2,526
01-007-019,760,450,0,450,0,2,448
01-007-020,753,436,0,435,-1,0,435
01-007-021,941,576,0,579,3,34,545
01-007-022,924,540,0,536,-4,3,533
01-007-023,765,399,0,398,-1,4,394
01-007-024,876,515,0,514,-1,7,507
01-007-025,874,511,0,510,-1,3,507
01-007-026,837,534,0,533,-1,6,527
01-007-027,800,494,0,493,-1,5,488
01-007-028,1084,567,0,569,2,31,538
01-007-029,1046,515,0,514,-1,5,509
01-007-030,1102,605,1,603,-2,6,597
01-007-031,857,506,1,506,0,2,504
01-007-032,1068,596,1,594,-2,3,591
01-007-033,907,518,0,516,-2,3,513
01-007-034,709,401,0,400,-1,4,396
01-007-035,992,555,0,554,-1,10,544
01-007-036,852,461,0,461,0,2,459
01-007-037,935,488,0,488,0,3,485
01-007-038,819,438,0,436,-2,3,433
01-007-039,448,386,0,384,-2,1,383
01-008-001,787,490,0,490,0,2,488
01-008-002,918,556,1,556,0,3,553
01-008-003,908,602,0,601,-1,1,600
01-008-004,619,385,0,385,0,0,385
01-008-005,685,416,0,413,-3,1,412
01-008-006,594,361,0,361,0,3,358
01-008-007,859,518,1,518,0,4,514
01-008-008,1865,859,1,845,-14,0,845
01-008-009,800,526,0,525,-1,6,519
01-008-010,977,618,0,600,-18,2,598
01-008-011,952,546,1,544,-2,5,539
01-008-012,986,596,0,596,0,3,593
01-008-013,862,490,0,488,-2,8,480
01-008-014,642,357,0,357,0,2,355
01-008-015,865,514,0,512,-2,4,508
01-008-016,1143,696,0,695,-1,7,688
01-008-017,923,456,0,456,0,3,453
01-008-018,1058,592,0,592,0,8,584
01-008-019,1191,645,1,645,0,6,639
01-008-020,1175,471,0,461,-10,2,459
01-008-021,1080,586,0,586,0,4,582
01-008-022,1174,616,0,614,-2,7,607
01-008-023,727,393,0,398,5,48,350
01-008-024,737,399,0,397,-2,4,393
01-008-025,802,407,0,408,1,12,396
01-008-026,626,326,0,325,-1,1,324
01-008-027,934,495,0,499,4,40,459
01-008-028,981,436,0,435,-1,10,425
01-008-029,1108,164,0,162,-2,3,159
01-008-030,1344,649,0,643,-6,13,630
01-008-031,1283,739,0,738,-1,6,732
01-008-032,665,343,0,343,0,1,342
01-008-033,671,436,0,436,0,3,433
01-008-034,1261,675,0,675,0,8,667
01-008-035,693,409,0,407,-2,4,403
01-008-036,921,540,0,540,0,6,534
01-008-037,1154,602,0,602,0,7,595
01-008-038,1179,578,0,577,-1,11,566
01-008-039,760,306,0,304,-2,9,295
01-008-040,852,429,0,429,0,3,426
01-008-041,1291,670,0,669,-1,10,659
01-008-042,1336,650,0,647,-3,9,638
01-008-043,1361,747,0,747,0,6,741
01-008-044,1001,460,0,460,0,13,447
01-008-045,1288,640,0,638,-2,13,625
01-008-046,995,537,0,536,-1,6,530
01-008-047,655,469,0,469,0,4,465
01-008-048,1120,658,0,656,-2,5,651
01-008-049,1052,672,0,671,-1,4,667
01-008-050,1153,709,0,707,-2,6,701
01-008-051,613,445,0,436,-9,3,433
01-009-001,664,405,0,405,0,1,404
01-009-002,668,415,0,415,0,12,403
01-009-003,776,520,0,520,0,9,511
01-009-004,697,433,0,433,0,3,430
01-009-005,686,413,0,413,0,1,412
01-009-006,670,414,0,414,0,6,408
01-009-007,795,529,0,528,-1,2,526
01-009-008,798,479,0,479,0,2,477
01-009-009,935,423,0,422,-1,2,420
01-009-010,684,428,0,427,-1,4,423
01-009-011,891,595,0,593,-2,3,590
01-009-012,716,491,0,491,0,5,486
01-009-013,749,499,0,500,1,16,484
01-009-014,830,568,0,568,0,1,567
01-009-015,890,536,0,535,-1,3,532
01-009-016,783,530,0,530,0,8,522
01-009-017,891,602,0,601,-1,6,595
01-009-018,869,440,0,439,-1,3,436
01-009-019,927,546,0,546,0,2,544
01-009-020,816,457,0,457,0,7,450
01-009-021,882,478,0,477,-1,3,474
01-009-022,727,461,0,460,-1,5,455
01-009-023,944,577,0,577,0,7,570
01-009-024,797,413,0,413,0,4,409
01-009-025,863,524,0,525,1,11,514
01-009-026,954,644,0,643,-1,7,636
01-009-027,820,419,0,417,-2,4,413
01-009-028,937,550,0,550,0,3,547
01-009-029,880,450,0,449,-1,5,444
01-009-030,819,430,0,430,0,3,427
01-009-031,805,490,1,488,-2,2,486
01-009-032,1016,657,0,657,0,8,649
01-009-033,939,562,0,562,0,9,553
01-009-034,789,533,0,524,-9,3,521
01-009-035,623,205,0,205,0,7,198
01-009-036,1052,457,0,457,0,5,452
01-009-037,1083,386,0,385,-1,2,383
01-009-038,742,497,0,497,0,3,494
01-009-039,715,443,0,443,0,5,438
01-009-040,728,509,0,509,0,4,505
01-009-041,748,461,0,461,0,4,457
01-009-042,691,452,0,451,-1,5,446
01-009-043,895,547,0,549,2,27,522
01-009-044,750,499,0,499,0,7,492
01-009-045,699,467,0,468,1,14,454
01-009-046,694,447,0,447,0,9,438
01-009-047,718,470,0,470,0,4,466
01-009-048,779,501,0,501,0,3,498
01-009-049,763,499,0,498,-1,5,493
01-009-050,743,655,0,655,0,2,653
01-010-001,774,439,0,439,0,2,437
01-010-002,697,378,0,386,8,64,322
01-010-003,692,324,0,324,0,7,317
01-010-004,698,285,0,284,-1,1,283
01-010-005,745,439,0,440,1,15,425
01-010-006,714,368,0,368,0,1,367
01-010-007,768,413,0,413,0,0,413
01-010-008,915,645,0,645,0,0,645
01-010-009,732,428,0,428,0,4,424
01-010-010,729,444,0,444,0,4,440
01-010-011,844,507,0,507,0,1,506
01-010-012,737,439,0,438,-1,6,432
01-010-013,751,415,0,414,-1,4,410
01-010-014,693,432,0,432,0,0,432
01-010-015,703,422,0,422,0,4,418
01-010-016,748,370,0,370,0,6,364
01-010-017,682,382,0,382,0,4,378
01-010-018,721,349,0,349,0,6,343
01-010-019,715,389,0,389,0,6,383
01-010-020,703,413,0,413,0,1,412
01-010-021,720,456,0,459,3,40,419
01-010-022,769,416,0,416,0,3,413
01-010-023,669,417,0,417,0,1,416
01-010-024,663,358,0,357,-1,1,356
01-010-025,834,449,0,449,0,4,445
01-010-026,823,470,0,470,0,4,466
01-010-027,796,464,0,464,0,2,462
01-010-028,833,521,0,522,1,16,506
01-010-029,906,661,0,661,0,3,658
01-010-030,698,337,0,337,0,5,332
01-010-031,698,342,0,342,0,5,337
01-010-032,1097,310,0,310,0,3,307
01-010-033,715,423,0,423,0,4,419
01-010-034,704,367,0,367,0,4,363
01-010-035,712,445,0,443,-2,7,436
01-010-036,621,376,6,366,-10,4,362
01-010-037,681,363,0,363,0,0,363
01-010-038,707,440,0,438,-2,4,434
01-010-039,751,441,0,441,0,3,438
01-010-040,706,420,0,420,0,3,417
01-010-041,671,460,1,460,0,4,456
01-010-042,684,389,0,388,-1,3,385
01-010-043,641,355,0,354,-1,4,350
01-010-044,653,309,0,309,0,5,304
01-010-045,693,384,0,383,-1,2,381
01-010-046,703,436,0,437,1,16,421
01-010-047,810,532,0,532,0,6,526
01-010-048,842,376,0,376,0,5,371
01-010-049,872,552,0,552,0,6,546
01-010-050,892,453,0,453,0,2,451
01-010-051,880,467,0,468,1,15,453
01-010-052,779,453,0,453,0,7,446
01-010-053,841,523,0,520,-3,9,511
01-010-054,849,493,0,491,-2,6,485
01-010-055,811,491,0,494,3,27,467
01-010-056,897,546,0,544,-2,5,539
01-010-057,860,512,0,512,0,8,504
01-010-058,895,522,0,518,-4,7,511
01-010-059,848,459,0,459,0,4,455
01-010-060,871,510,0,509,-1,3,506
01-010-061,834,425,1,423,-2,4,419
01-010-062,869,471,0,471,0,3,468
01-010-063,846,511,0,506,-5,6,500
01-010-064,861,442,0,441,-1,3,438
01-010-065,842,461,0,461,0,2,459
01-010-066,769,390,0,390,0,6,384
01-010-067,657,441,0,441,0,1,440
01-010-068,654,436,0,435,-1,1,434
01-010-069,634,531,0,531,0,11,520
01-011-001,1026,718,0,719,1,16,703
01-011-002,1038,748,0,748,0,7,741
01-011-003,998,668,0,667,-1,5,662
01-011-004,933,635,0,633,-2,1,632
01-011-005,1006,676,0,675,-1,8,667
01-011-006,1304,745,0,749,4,40,709
01-011-007,917,649,0,649,0,2,647
01-011-008,915,626,0,626,0,3,623
01-011-009,971,664,0,664,0,3,661
01-011-010,931,627,0,626,-1,1,625
01-011-011,899,554,0,552,-2,2,550
01-011-012,948,686,0,686,0,6,680
01-011-013,1034,696,0,695,-1,9,686
01-011-014,1086,760,0,759,-1,3,756
01-011-015,1006,664,0,664,0,7,657
01-011-016,969,682,0,682,0,1,681
01-011-017,939,645,0,636,-9,4,632
01-011-018,1119,807,0,807,0,1,806
01-011-019,1038,730,0,725,-5,7,718
01-011-020,853,657,0,657,0,1,656
01-011-021,905,667,0,666,-1,1,665
01-011-022,1015,777,0,777,0,1,776
01-011-023,979,682,0,672,-10,4,668
01-011-024,871,566,0,568,2,21,547
01-011-025,894,634,0,633,-1,0,633
01-011-026,819,591,0,589,-2,3,586
01-011-027,1132,796,0,793,-3,2,791
01-011-028,1102,773,0,773,0,1,772
01-011-029,1062,725,0,724,-1,3,721
01-011-030,1097,760,0,760,0,1,759
01-011-031,928,721,0,722,1,15,707
01-011-032,836,620,0,620,0,5,615
01-011-033,995,761,0,760,-1,6,754
01-011-034,951,743,0,742,-1,4,738
01-011-035,916,691,0,691,0,2,689
01-011-036,1008,693,0,692,-1,2,690
01-011-037,929,708,0,708,0,1,707
01-011-038,887,703,0,704,1,13,691
01-011-039,954,719,0,719,0,5,714
01-011-040,855,672,0,672,0,1,671
01-011-041,852,682,0,679,-3,8,671
01-011-042,924,735,0,730,-5,4,726
01-011-043,1003,765,0,765,0,0,765
01-011-044,923,651,0,649,-2,2,647
01-011-045,1025,713,0,712,-1,3,709
01-011-046,1000,638,0,637,-1,4,633
01-011-047,958,712,0,704,-8,6,698
01-011-048,1000,680,0,680,0,5,675
01-011-049,978,712,0,706,-6,7,699
01-011-050,944,692,0,692,0,5,687
01-011-051,946,739,0,739,0,2,737
01-011-052,986,672,0,672,0,3,669
01-011-053,901,653,0,653,0,2,651
01-011-054,1048,767,0,767,0,3,764
01-011-055,895,655,0,656,1,17,639
01-011-056,1050,701,0,699,-2,9,690
01-011-057,874,592,0,591,-1,6,585
01-011-058,1070,712,1,712,0,3,709
01-011-059,986,673,0,673,0,4,669
01-011-060,1115,722,0,721,-1,2,719
01-011-061,915,572,0,572,0,4,568
01-011-062,1027,710,0,709,-1,5,704
01-011-063,1063,676,0,674,-2,12,662
01-011-064,1088,769,0,771,2,28,743
01-011-065,1086,764,0,762,-2,5,757
01-011-066,1098,696,0,696,0,8,688
01-011-067,968,641,0,641,0,0,641
01-011-068,1056,705,0,705,0,4,701
01-011-069,667,403,0,403,0,1,402
01-011-070,1000,705,0,705,0,1,704
01-011-071,984,644,0,644,0,3,641
01-011-072,988,711,0,711,0,6,705
01-011-073,818,534,0,533,-1,5,528
01-011-074,923,487,0,487,0,0,487
01-011-075,850,613,0,614,1,12,602
01-011-076,1140,757,0,756,-1,6,750
01-011-077,1041,692,0,690,-2,8,682
01-011-078,1030,646,0,644,-2,3,641
01-011-079,995,747,0,744,-3,1,743
01-011-080,1072,712,0,711,-1,3,708
01-011-081,999,740,0,740,0,3,737
01-011-082,993,651,0,651,0,5,646
01-011-083,1058,716,0,716,0,5,711
01-011-084,1097,762,0,760,-2,8,752
01-011-085,969,629,0,627,-2,3,624
01-011-086,1001,658,0,657,-1,0,657
01-011-087,1031,669,0,668,-1,2,666
01-011-088,992,737,0,736,-1,2,734
01-011-089,992,619,0,616,-3,5,611
01-011-090,1128,743,0,743,0,3,740
01-011-091,1064,663,0,663,0,7,656
01-011-092,1023,696,0,695,-1,5,690
01-011-093,980,650,0,650,0,5,645
01-011-094,1110,698,0,700,2,24,676
01-011-095,687,437,0,438,1,12,426
01-011-096,1110,729,0,712,-17,6,706
01-011-097,852,593,0,596,3,35,561
01-011-098,800,593,0,594,1,15,579
01-011-099,845,645,0,640,-5,1,639
01-011-100,970,704,0,700,-4,7,693
01-011-101,871,622,0,621,-1,5,616
01-011-102,888,689,0,689,0,3,686
01-011-103,843,624,0,624,0,1,623
01-011-104,590,296,0,294,-2,13,281
01-011-105,846,454,0,455,1,15,440
01-011-106,980,791,0,791,0,2,789
01-012-001,656,453,0,453,0,2,451
01-012-002,678,442,1,439,-3,6,433
01-012-003,894,590,0,590,0,6,584
01-012-004,713,532,0,531,-1,2,529
01-012-005,588,381,0,378,-3,2,376
01-012-006,488,335,1,335,0,4,331
01-012-007,774,533,0,533,0,4,529
01-012-008,488,305,2,301,-4,1,300
01-012-009,790,588,0,588,0,6,582
01-012-010,945,697,0,697,0,4,693
01-012-011,748,564,1,563,-1,1,562
01-012-012,910,670,0,669,-1,7,662
01-012-013,591,436,1,436,0,6,430
01-012-014,639,423,0,424,1,13,411
01-012-015,673,505,0,505,0,2,503
01-012-016,678,522,0,521,-1,2,519
01-012-017,906,613,0,613,0,7,606
01-012-018,955,685,0,683,-2,8,675
01-012-019,597,441,0,443,2,24,419
01-012-020,753,572,0,572,0,1,571
01-012-021,713,495,0,496,1,11,485
01-012-022,491,355,0,355,0,1,354
01-012-023,987,774,0,774,0,5,769
01-012-024,659,505,0,506,1,13,493
01-012-025,829,609,0,607,-2,5,602
01-012-026,680,526,0,526,0,2,524
01-012-027,686,538,0,538,0,2,536
01-012-028,976,675,0,675,0,5,670
01-012-029,678,516,1,517,1,14,503
01-012-030,934,693,0,691,-2,5,686
01-012-031,645,457,0,458,1,13,445
