JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
47001,06-027-001,779,501,501,0,5,496,EGYENI,,
47003,06-027-002,778,468,468,0,7,461,EGYENI,,
47005,06-027-003,772,511,511,0,0,511,EGYENI,,
47007,06-027-004,777,513,513,0,6,507,EGYENI,,
47415,06-028-001,423,230,230,0,2,228,EGYENI,,
47417,06-029-001,320,222,222,0,2,220,EGYENI,,
47419,06-030-001,1207,756,754,-2,11,743,EGYENI,,
47421,06-031-001,587,384,384,0,6,378,EGYENI,,
47423,06-031-002,532,329,329,0,2,327,EGYENI,,
47425,06-032-001,714,564,564,0,5,559,EGYENI,,
47427,06-032-002,786,563,562,-1,4,558,EGYENI,,
47429,06-032-003,885,647,647,0,8,639,EGYENI,,
47431,06-032-004,860,582,581,-1,8,573,EGYENI,,
47433,06-032-005,712,514,514,0,5,509,EGYENI,,
47435,06-032-006,699,490,489,-1,4,485,EGYENI,,
47437,06-032-007,649,458,455,-3,3,452,EGYENI,,
47439,06-032-008,780,555,554,-1,3,551,EGYENI,,
47441,06-032-009,939,512,511,-1,9,502,EGYENI,,
47443,06-032-010,1004,753,752,-1,7,745,EGYENI,,
47445,06-032-011,1007,656,652,-4,11,641,EGYENI,,
47447,06-032-012,762,574,573,-1,5,568,EGYENI,,
47449,06-032-013,875,680,680,0,2,678,EGYENI,,
47451,06-032-014,829,607,607,0,7,600,EGYENI,,
47453,06-032-015,896,686,682,-4,10,672,EGYENI,,
47455,06-032-016,663,502,502,0,2,500,EGYENI,,
47457,06-032-017,766,573,573,0,4,569,EGYENI,,
47459,06-032-018,931,609,605,-4,3,602,EGYENI,,
47461,06-032-019,660,479,479,0,2,477,EGYENI,,
47463,06-032-020,691,518,518,0,3,515,EGYENI,,
47465,06-032-021,884,695,694,-1,4,690,EGYENI,,
47467,06-032-022,710,510,510,0,5,505,EGYENI,,
47469,06-032-023,896,599,599,0,3,596,EGYENI,,
47471,06-033-001,493,338,338,0,2,336,EGYENI,,
47473,06-033-002,547,354,354,0,4,350,EGYENI,,
47475,06-033-003,599,381,381,0,3,378,EGYENI,,
47477,06-034-001,675,511,511,0,3,508,EGYENI,,
47479,06-034-002,344,278,278,0,4,274,EGYENI,,
47481,06-035-001,1162,756,753,-3,9,744,EGYENI,,
47483,06-035-002,1098,720,719,-1,13,706,EGYENI,,
47485,06-035-003,1094,758,758,0,5,753,EGYENI,,
47487,06-035-004,958,626,626,0,10,616,EGYENI,,
47489,06-035-005,1045,658,658,0,7,651,EGYENI,,
47491,06-036-001,621,478,478,0,4,474,EGYENI,,
47493,06-036-002,751,564,564,0,8,556,EGYENI,,
47495,06-036-003,917,675,675,0,9,666,EGYENI,,
47497,06-036-004,818,653,653,0,11,642,EGYENI,,
47499,06-036-005,830,648,648,0,6,642,EGYENI,,
47501,06-036-006,300,195,195,0,2,193,EGYENI,,
47503,06-036-007,257,170,170,0,8,162,EGYENI,,
47505,06-036-008,305,208,208,0,0,208,EGYENI,,
47507,06-036-009,167,122,122,0,2,120,EGYENI,,
47509,06-037-001,403,232,232,0,2,230,EGYENI,,
47511,06-038-001,405,281,281,0,1,280,EGYENI,,
47513,06-039-001,543,316,316,0,5,311,EGYENI,,
47515,06-039-002,656,405,405,0,6,399,EGYENI,,
47517,06-039-003,504,322,322,0,7,315,EGYENI,,
47519,06-039-004,510,312,312,0,17,295,EGYENI,,
47521,06-039-005,138,84,84,0,5,79,EGYENI,,
47523,06-040-001,363,227,227,0,6,221,EGYENI,,
47525,06-041-001,398,275,275,0,5,270,EGYENI,,
47527,06-042-001,592,357,360,3,31,329,EGYENI,,
47529,06-042-002,471,298,298,0,11,287,EGYENI,,
47531,06-042-003,365,191,191,0,7,184,EGYENI,,
47533,06-042-004,146,91,91,0,0,91,EGYENI,,
47535,06-043-001,423,312,312,0,5,307,EGYENI,,
47537,06-043-002,149,82,82,0,1,81,EGYENI,,
47539,06-044-001,594,423,423,0,2,421,EGYENI,,
47541,06-044-002,524,396,395,-1,4,391,EGYENI,,
47543,06-045-001,861,565,565,0,2,563,EGYENI,,
47545,06-046-001,720,528,528,0,14,514,EGYENI,,
47547,06-046-002,438,231,231,0,6,225,EGYENI,,
47549,06-047-001,1058,683,683,0,5,678,EGYENI,,
47551,06-047-002,1248,856,856,0,2,854,EGYENI,,
47965,06-047-003,560,290,290,0,0,290,EGYENI,,
47967,06-048-001,1078,691,691,0,6,685,EGYENI,,
47969,06-048-002,954,653,653,0,15,638,EGYENI,,
47971,06-049-001,814,520,520,0,10,510,EGYENI,,
47973,06-049-002,820,547,547,0,7,540,EGYENI,,
47975,06-049-003,650,427,427,0,9,418,EGYENI,,
47977,06-049-004,682,430,430,0,10,420,EGYENI,,
47979,06-049-005,801,579,579,0,14,565,EGYENI,,
47981,06-049-006,848,596,596,0,6,590,EGYENI,,
47983,06-049-007,793,553,554,1,26,528,EGYENI,,
47985,06-049-008,719,519,519,0,10,509,EGYENI,,
47987,06-049-009,452,234,234,0,0,234,EGYENI,,
47989,06-050-001,870,528,528,0,15,513,EGYENI,,
47991,06-050-002,914,638,638,0,9,629,EGYENI,,
47993,06-050-003,1000,642,642,0,11,631,EGYENI,,
47995,06-050-004,1131,755,753,-2,9,744,EGYENI,,
47997,06-051-001,1375,841,841,0,9,832,EGYENI,,
47999,06-051-002,1062,743,741,-2,12,729,EGYENI,,
48001,06-051-003,1146,802,802,0,4,798,EGYENI,,
48003,06-051-004,1282,871,870,-1,1,869,EGYENI,,
48005,06-051-005,1061,768,768,0,2,766,EGYENI,,
48007,06-051-006,1252,968,968,0,12,956,EGYENI,,
48009,06-051-007,1375,1058,1058,0,5,1053,EGYENI,,
48011,06-051-008,1131,769,766,-3,0,766,EGYENI,,
48013,06-051-009,1314,833,828,-5,1,827,EGYENI,,
48015,06-051-010,1082,734,733,-1,5,728,EGYENI,,
48017,06-051-011,1142,795,794,-1,3,791,EGYENI,,
48019,06-051-012,1365,1046,1044,-2,6,1038,EGYENI,,
48021,06-051-013,1159,836,836,0,10,826,EGYENI,,
48023,06-051-014,1353,993,991,-2,4,987,EGYENI,,
48025,06-051-015,1207,752,751,-1,7,744,EGYENI,,
48027,06-051-016,1276,826,825,-1,2,823,EGYENI,,
48029,06-051-017,1233,898,895,-3,7,888,EGYENI,,
48031,06-051-018,1178,800,800,0,1,799,EGYENI,,
48033,06-051-019,1364,1052,1052,0,4,1048,EGYENI,,
48035,06-051-020,1025,757,757,0,6,751,EGYENI,,
48037,06-051-101,1391,1030,1030,0,6,1024,EGYENI,,
48039,06-051-102,1325,880,879,-1,4,875,EGYENI,,
48041,06-051-103,1035,730,730,0,8,722,EGYENI,,
48043,06-051-104,1284,831,828,-3,12,816,EGYENI,,
48045,06-051-105,1061,681,678,-3,5,673,EGYENI,,
48047,06-051-106,1243,920,920,0,8,912,EGYENI,,
48049,06-051-107,1275,964,958,-6,0,958,EGYENI,,
48051,06-051-108,1292,878,878,0,3,875,EGYENI,,
48053,06-051-109,1299,932,932,0,5,927,EGYENI,,
48055,06-051-110,1222,841,840,-1,4,836,EGYENI,,
48057,06-051-111,1126,775,774,-1,2,772,EGYENI,,
48059,06-051-112,1373,1022,1011,-11,8,1003,EGYENI,,
48061,06-051-113,1328,882,882,0,9,873,EGYENI,,
48063,06-051-114,1266,833,832,-1,3,829,EGYENI,,
48065,06-051-115,1205,864,863,-1,5,858,EGYENI,,
48067,06-051-116,1304,933,933,0,3,930,EGYENI,,
48069,06-051-117,1235,915,915,0,3,912,EGYENI,,
48071,06-051-118,1263,884,883,-1,13,870,EGYENI,,
48073,06-051-119,1289,1002,1004,2,20,984,EGYENI,,
48075,06-051-120,1359,1059,1057,-2,0,1057,EGYENI,,
48077,06-051-201,1413,957,957,0,5,952,EGYENI,,
48079,06-051-202,1231,855,855,0,8,847,EGYENI,,
48081,06-051-203,1042,801,801,0,0,801,EGYENI,,
48083,06-051-204,1303,854,854,0,3,851,EGYENI,,
48085,06-051-205,1085,709,709,0,10,699,EGYENI,,
48087,06-051-206,1107,877,877,0,4,873,EGYENI,,
48089,06-051-207,1381,1065,1065,0,3,1062,EGYENI,,
48091,06-051-208,1325,902,900,-2,2,898,EGYENI,,
48491,06-051-209,1188,871,871,0,2,869,EGYENI,,
48493,06-051-210,989,664,663,-1,8,655,EGYENI,,
48495,06-051-211,714,510,509,-1,3,506,EGYENI,,
48497,06-051-212,1047,729,728,-1,10,718,EGYENI,,
48499,06-051-213,1176,837,837,0,5,832,EGYENI,,
48501,06-051-214,1231,851,851,0,2,849,EGYENI,,
48503,06-051-215,1267,822,822,0,2,820,EGYENI,,
48505,06-051-216,1258,898,898,0,7,891,EGYENI,,
48507,06-051-217,1172,857,857,0,18,839,EGYENI,,
48509,06-051-218,1210,827,827,0,4,823,EGYENI,,
48511,06-051-219,1234,986,985,-1,2,983,EGYENI,,
48513,06-051-220,1161,968,966,-2,7,959,EGYENI,,
48515,06-051-301,1390,908,908,0,5,903,EGYENI,,
48517,06-051-302,944,608,607,-1,5,602,EGYENI,,
48519,06-051-303,873,666,667,1,11,656,EGYENI,,
48521,06-051-304,1316,951,950,-1,9,941,EGYENI,,
48523,06-051-305,1334,977,972,-5,4,968,EGYENI,,
48525,06-051-306,1111,835,834,-1,6,828,EGYENI,,
48527,06-051-307,1385,1025,1023,-2,6,1017,EGYENI,,
48529,06-051-308,1185,789,789,0,5,784,EGYENI,,
48531,06-051-309,1205,834,833,-1,9,824,EGYENI,,
48533,06-051-310,4021,3481,3474,-7,20,3454,EGYENI,,
48535,06-051-311,1145,447,430,-17,2,428,EGYENI,,
48537,06-051-312,1290,957,957,0,7,950,EGYENI,,
48539,06-051-313,1147,782,782,0,3,779,EGYENI,,
48541,06-051-314,1347,972,973,1,14,959,EGYENI,,
48543,06-051-315,1202,780,776,-4,4,772,EGYENI,,
48545,06-051-316,1279,813,811,-2,1,810,EGYENI,,
48547,06-051-317,1302,895,894,-1,2,892,EGYENI,,
48549,06-051-318,1159,912,912,0,2,910,EGYENI,,
48551,06-051-319,1186,850,848,-2,7,841,EGYENI,,
48553,06-051-320,1114,818,817,-1,7,810,EGYENI,,
48555,06-051-401,1422,997,997,0,5,992,EGYENI,,
48557,06-051-402,1051,695,695,0,7,688,EGYENI,,
48559,06-051-403,890,669,669,0,6,663,EGYENI,,
48561,06-051-404,1225,820,820,0,5,815,EGYENI,,
48563,06-051-405,951,628,628,0,3,625,EGYENI,,
48565,06-051-406,988,688,688,0,3,685,EGYENI,,
48567,06-051-407,1363,969,968,-1,3,965,EGYENI,,
48569,06-051-408,1171,807,806,-1,5,801,EGYENI,,
48571,06-051-409,1346,1010,1009,-1,0,1009,EGYENI,,
48573,06-051-410,1041,714,713,-1,6,707,EGYENI,,
48575,06-051-411,3921,3400,3379,-21,32,3347,EGYENI,,
48577,06-051-412,1275,895,894,-1,7,887,EGYENI,,
48579,06-051-413,1278,859,859,0,12,847,EGYENI,,
48581,06-051-414,1335,904,902,-2,5,897,EGYENI,,
48583,06-051-415,1264,790,790,0,6,784,EGYENI,,
48585,06-051-416,1264,939,939,0,5,934,EGYENI,,
48587,06-051-417,1214,850,849,-1,5,844,EGYENI,,
48589,06-051-418,1242,918,918,0,11,907,EGYENI,,
48591,06-051-419,1227,991,988,-3,4,984,EGYENI,,
48593,06-051-420,1059,812,811,-1,4,807,EGYENI,,
48595,06-051-502,1020,711,711,0,8,703,EGYENI,,
48597,06-051-503,1103,808,808,0,3,805,EGYENI,,
48599,06-051-505,1086,696,696,0,1,695,EGYENI,,
48601,06-051-511,668,453,453,0,5,448,EGYENI,,
48603,06-051-520,1072,776,775,-1,6,769,EGYENI,,
48605,06-051-603,931,738,738,0,6,732,EGYENI,,
48607,06-051-611,752,492,490,-2,1,489,EGYENI,,
48609,06-052-001,597,425,425,0,5,420,EGYENI,,
48611,06-052-002,638,457,457,0,8,449,EGYENI,,
48613,06-052-003,569,399,398,-1,5,393,EGYENI,,
48615,06-052-004,581,395,395,0,6,389,EGYENI,,
49025,06-052-005,573,400,400,0,5,395,EGYENI,,
49027,06-052-006,545,354,354,0,7,347,EGYENI,,
49029,06-052-007,69,40,40,0,1,39,EGYENI,,
49031,06-053-001,715,575,575,0,2,573,EGYENI,,
49033,06-053-002,664,487,487,0,6,481,EGYENI,,
49035,06-053-003,705,527,527,0,9,518,EGYENI,,
49037,06-053-004,2443,2191,2186,-5,25,2161,EGYENI,,
49039,06-053-005,192,140,140,0,2,138,EGYENI,,
49041,06-053-006,885,599,599,0,13,586,EGYENI,,
49043,06-053-007,974,713,713,0,7,706,EGYENI,,
49045,06-053-008,675,474,474,0,3,471,EGYENI,,
49047,06-053-009,670,485,485,0,5,480,EGYENI,,
49049,06-053-010,725,485,485,0,13,472,EGYENI,,
49051,06-053-011,141,78,78,0,4,74,EGYENI,,
49053,06-053-012,169,91,91,0,1,90,EGYENI,,
49055,06-053-013,98,69,69,0,0,69,EGYENI,,
49057,06-053-014,882,683,683,0,7,676,EGYENI,,
49059,06-053-015,917,654,653,-1,7,646,EGYENI,,
49061,06-053-016,703,498,498,0,6,492,EGYENI,,
49063,06-053-017,927,638,637,-1,10,627,EGYENI,,
49065,06-053-018,680,501,500,-1,4,496,EGYENI,,
49067,06-053-019,587,399,398,-1,7,391,EGYENI,,
49069,06-053-020,665,476,476,0,4,472,EGYENI,,
49071,06-053-021,853,642,642,0,6,636,EGYENI,,
49073,06-053-022,866,655,655,0,9,646,EGYENI,,
49075,06-053-023,757,523,519,-4,5,514,EGYENI,,
49077,06-053-024,617,429,428,-1,3,425,EGYENI,,
49079,06-053-025,909,654,656,2,24,632,EGYENI,,
49081,06-053-026,861,605,605,0,10,595,EGYENI,,
49083,06-053-027,606,431,430,-1,10,420,EGYENI,,
49085,06-053-028,826,582,580,-2,2,578,EGYENI,,
49087,06-053-029,826,567,567,0,3,564,EGYENI,,
49089,06-053-030,633,465,465,0,4,461,EGYENI,,
49091,06-053-031,150,99,99,0,0,99,EGYENI,,
49093,06-053-032,1080,668,668,0,7,661,EGYENI,,
49095,06-053-033,670,435,433,-2,6,427,EGYENI,,
49097,06-053-034,86,56,56,0,1,55,EGYENI,,
49099,06-053-035,176,101,101,0,1,100,EGYENI,,
49101,06-054-001,872,630,630,0,2,628,EGYENI,,
49103,06-054-002,859,667,667,0,10,657,EGYENI,,
49105,06-055-001,685,507,507,0,4,503,EGYENI,,
49107,06-055-002,747,518,518,0,4,514,EGYENI,,
49109,06-056-001,699,509,508,-1,7,501,EGYENI,,
49111,06-056-002,710,416,416,0,3,413,EGYENI,,
49113,06-057-001,794,548,548,0,9,539,EGYENI,,
49115,06-057-002,744,515,515,0,4,511,EGYENI,,
49117,06-058-001,844,496,496,0,5,491,EGYENI,,
49119,06-058-002,873,619,619,0,7,612,EGYENI,,
49121,06-058-003,811,562,561,-1,9,552,EGYENI,,
49123,06-059-001,1121,782,782,0,10,772,EGYENI,,
49125,06-059-002,1114,775,773,-2,10,763,EGYENI,,
49127,06-060-001,851,574,574,0,6,568,EGYENI,,
49129,06-060-002,891,588,588,0,2,586,EGYENI,,
49131,06-060-003,1030,763,761,-2,4,757,EGYENI,,
49133,07-001-001,1064,590,590,0,9,581,EGYENI,,
49135,07-001-002,1012,577,577,0,11,566,EGYENI,,
49137,07-001-003,196,129,129,0,4,125,EGYENI,,
49139,07-001-004,194,125,125,0,3,122,EGYENI,,
49141,07-001-005,1159,767,767,0,7,760,EGYENI,,
49143,07-002-001,985,659,659,0,4,655,EGYENI,,
49145,07-002-002,1046,651,651,0,3,648,EGYENI,,
49147,07-002-003,1008,722,722,0,6,716,EGYENI,,
49149,07-003-001,839,521,521,0,1,520,EGYENI,,
49151,07-003-002,662,394,394,0,5,389,EGYENI,,
49153,07-004-001,451,362,361,-1,2,359,EGYENI,,
49155,07-004-002,654,464,463,-1,2,461,EGYENI,,
43578,07-005-001,482,303,303,0,8,295,EGYENI,,
43579,07-006-001,771,571,551,-20,11,540,EGYENI,,
43581,07-006-002,847,610,610,0,4,606,EGYENI,,
43583,07-006-003,828,597,596,-1,4,592,EGYENI,,
43585,07-007-001,115,89,89,0,0,89,EGYENI,,
43588,07-008-001,372,242,242,0,1,241,EGYENI,,
43590,07-008-002,370,265,265,0,1,264,EGYENI,,
43591,07-009-001,712,484,484,0,7,477,EGYENI,,
43593,07-009-002,633,412,412,0,2,410,EGYENI,,
43595,07-009-003,797,595,595,0,10,585,EGYENI,,
43597,07-009-004,684,451,450,-1,1,449,EGYENI,,
43599,07-010-001,1145,783,782,-1,2,780,EGYENI,,
43601,07-010-002,904,591,591,0,3,588,EGYENI,,
43603,07-010-003,139,93,93,0,0,93,EGYENI,,
43606,07-011-001,886,589,589,0,9,580,EGYENI,,
43608,07-012-001,674,443,443,0,7,436,EGYENI,,
43609,07-012-002,734,498,498,0,6,492,EGYENI,,
43611,07-013-001,1129,892,889,-3,5,884,EGYENI,,
43613,07-013-002,1162,727,725,-2,4,721,EGYENI,,
43615,07-013-003,1128,818,818,0,12,806,EGYENI,,
43617,07-013-004,1066,776,776,0,9,767,EGYENI,,
43619,07-013-005,1034,783,783,0,7,776,EGYENI,,
43621,07-013-006,1105,835,835,0,3,832,EGYENI,,
43623,07-013-007,1145,875,875,0,6,869,EGYENI,,
43625,07-013-008,3144,2613,2588,-25,12,2576,EGYENI,,
43627,07-014-001,754,551,551,0,2,549,EGYENI,,
43629,07-014-002,772,566,565,-1,2,563,EGYENI,,
43631,07-014-003,723,562,562,0,5,557,EGYENI,,
43633,07-014-004,959,714,714,0,2,712,EGYENI,,
43635,07-015-001,200,166,166,0,0,166,EGYENI,,
43637,07-016-001,734,523,523,0,7,516,EGYENI,,
43639,07-016-002,626,399,399,0,5,394,EGYENI,,
43641,07-016-003,698,445,445,0,4,441,EGYENI,,
43643,07-017-001,815,610,610,0,2,608,EGYENI,,
43645,07-017-002,161,113,113,0,2,111,EGYENI,,
43647,07-018-001,935,712,712,0,1,711,EGYENI,,
43650,07-019-001,891,657,657,0,1,656,EGYENI,,
43652,07-019-002,706,486,486,0,1,485,EGYENI,,
43653,07-019-003,894,662,662,0,0,662,EGYENI,,
43655,07-019-004,894,586,586,0,5,581,EGYENI,,
43657,07-019-005,758,548,548,0,3,545,EGYENI,,
43659,07-020-001,1137,897,891,-6,12,879,EGYENI,,
43661,07-021-001,823,548,548,0,4,544,EGYENI,,
43663,07-021-002,640,430,430,0,3,427,EGYENI,,
43665,07-022-001,798,521,521,0,10,511,EGYENI,,
43667,07-023-001,864,479,479,0,7,472,EGYENI,,
43669,07-023-002,896,549,549,0,13,536,EGYENI,,
43671,07-024-001,988,661,660,-1,4,656,EGYENI,,
43673,07-024-002,890,623,618,-5,2,616,EGYENI,,
43675,07-024-003,481,350,350,0,3,347,EGYENI,,
43677,07-024-004,756,535,535,0,3,532,EGYENI,,
43679,07-024-005,934,412,407,-5,3,404,EGYENI,,
43681,07-024-006,561,424,424,0,2,422,EGYENI,,
43683,07-024-007,622,482,480,-2,4,476,EGYENI,,
43685,07-024-008,539,384,384,0,4,380,EGYENI,,
43687,07-024-009,718,494,494,0,4,490,EGYENI,,
43689,07-024-010,921,633,632,-1,4,628,EGYENI,,
43691,07-024-011,688,455,455,0,2,453,EGYENI,,
43693,07-024-012,786,555,555,0,3,552,EGYENI,,
43695,07-024-013,778,565,564,-1,1,563,EGYENI,,
43697,07-024-014,849,608,607,-1,3,604,EGYENI,,
43699,07-024-015,768,542,539,-3,2,537,EGYENI,,
43701,07-024-016,716,536,536,0,4,532,EGYENI,,
43703,07-024-017,494,343,342,-1,3,339,EGYENI,,
43705,07-024-018,808,561,561,0,2,559,EGYENI,,
43707,07-024-019,697,520,520,0,6,514,EGYENI,,
43709,07-024-020,690,485,485,0,6,479,EGYENI,,
44115,07-024-021,2465,2169,2138,-31,1,2137,EGYENI,,
44117,07-024-022,858,624,624,0,3,621,EGYENI,,
44119,07-024-023,784,555,555,0,1,554,EGYENI,,
44121,07-024-024,837,582,581,-1,6,575,EGYENI,,
44123,07-024-025,770,537,537,0,5,532,EGYENI,,
44125,07-024-026,738,509,506,-3,0,506,EGYENI,,
44127,07-024-027,657,430,429,-1,2,427,EGYENI,,
44129,07-024-028,643,461,461,0,4,457,EGYENI,,
44131,07-024-029,652,454,454,0,3,451,EGYENI,,
44133,07-024-030,814,562,561,-1,3,558,EGYENI,,
44135,07-024-031,571,394,394,0,7,387,EGYENI,,
44137,07-024-032,794,536,535,-1,3,532,EGYENI,,
44139,07-024-033,807,547,547,0,2,545,EGYENI,,
44141,07-024-034,589,400,399,-1,3,396,EGYENI,,
44143,07-024-035,802,526,519,-7,9,510,EGYENI,,
44145,07-024-036,966,672,672,0,7,665,EGYENI,,
44147,07-024-037,974,709,709,0,2,707,EGYENI,,
44149,07-024-038,1074,741,741,0,8,733,EGYENI,,
44151,07-024-039,982,646,645,-1,8,637,EGYENI,,
44153,07-024-040,980,656,656,0,2,654,EGYENI,,
44155,07-024-041,1044,730,730,0,7,723,EGYENI,,
44157,07-024-042,996,723,723,0,3,720,EGYENI,,
44159,07-024-043,1000,827,824,-3,3,821,EGYENI,,
44161,07-024-044,1025,809,809,0,3,806,EGYENI,,
44163,07-024-045,1098,807,807,0,6,801,EGYENI,,
44165,07-024-046,1178,952,951,-1,4,947,EGYENI,,
44167,07-024-047,434,296,296,0,5,291,EGYENI,,
44169,07-025-001,796,469,469,0,6,463,EGYENI,,
44171,07-025-002,490,304,304,0,0,304,EGYENI,,
44173,07-025-003,545,364,364,0,3,361,EGYENI,,
44175,07-026-001,832,537,534,-3,6,528,EGYENI,,
44177,07-026-002,825,517,517,0,3,514,EGYENI,,
44179,07-026-003,891,534,534,0,11,523,EGYENI,,
44181,07-026-004,960,591,591,0,6,585,EGYENI,,
44183,07-026-005,849,494,494,0,7,487,EGYENI,,
44185,07-026-006,561,358,358,0,7,351,EGYENI,,
44187,07-026-007,308,171,171,0,2,169,EGYENI,,
44189,07-026-008,148,102,102,0,1,101,EGYENI,,
44191,07-027-001,1071,639,639,0,10,629,EGYENI,,
44193,07-027-002,1029,724,724,0,5,719,EGYENI,,
44195,07-027-003,1064,727,728,1,17,711,EGYENI,,
44197,07-027-004,769,511,511,0,4,507,EGYENI,,
44199,07-027-005,899,598,598,0,5,593,EGYENI,,
44201,07-027-006,1053,570,570,0,14,556,EGYENI,,
44203,07-027-007,219,146,146,0,0,146,EGYENI,,
44205,07-027-008,287,177,176,-1,4,172,EGYENI,,
44208,07-028-001,1037,751,751,0,4,747,EGYENI,,
44210,07-028-002,898,630,630,0,3,627,EGYENI,,
44211,07-028-003,1134,840,840,0,3,837,EGYENI,,
44213,07-028-004,117,70,70,0,0,70,EGYENI,,
44215,07-029-001,860,633,633,0,11,622,EGYENI,,
44217,07-029-002,752,547,546,-1,2,544,EGYENI,,
44219,07-030-001,679,561,560,-1,1,559,EGYENI,,
44221,07-030-002,774,626,625,-1,5,620,EGYENI,,
44223,07-031-001,699,491,490,-1,4,486,EGYENI,,
44225,07-032-001,492,368,368,0,3,365,EGYENI,,
44227,07-033-001,1216,886,885,-1,7,878,EGYENI,,
44229,07-033-002,992,695,695,0,5,690,EGYENI,,
44231,07-033-003,1243,951,950,-1,13,937,EGYENI,,
44233,07-033-004,1144,880,877,-3,4,873,EGYENI,,
44235,07-033-005,1019,736,735,-1,5,730,EGYENI,,
44237,07-033-006,1001,781,781,0,3,778,EGYENI,,
44239,07-033-007,1380,1002,1002,0,2,1000,EGYENI,,
44241,07-033-008,879,610,609,-1,2,607,EGYENI,,
44667,07-034-001,980,726,726,0,3,723,EGYENI,,
44669,07-035-001,739,467,467,0,6,461,EGYENI,,
44671,07-036-001,314,203,203,0,1,202,EGYENI,,
44673,07-036-002,212,111,111,0,3,108,EGYENI,,
44675,07-036-003,242,131,131,0,3,128,EGYENI,,
44677,07-037-001,952,703,703,0,10,693,EGYENI,,
44679,07-037-002,694,490,490,0,6,484,EGYENI,,
44681,07-038-001,674,461,461,0,4,457,EGYENI,,
44683,07-038-002,74,59,59,0,0,59,EGYENI,,
44685,07-039-001,1166,736,735,-1,11,724,EGYENI,,
44687,07-039-002,1064,664,664,0,2,662,EGYENI,,
44689,07-040-001,1024,633,633,0,0,633,EGYENI,,
44691,07-041-001,855,600,600,0,0,600,EGYENI,,
44693,07-042-001,964,613,613,0,11,602,EGYENI,,
44695,07-042-002,915,547,547,0,6,541,EGYENI,,
44697,07-043-001,1002,749,745,-4,2,743,EGYENI,,
44699,07-043-002,806,601,599,-2,3,596,EGYENI,,
44701,07-043-003,327,250,250,0,1,249,EGYENI,,
44703,07-043-004,882,634,633,-1,5,628,EGYENI,,
44705,07-044-001,536,373,372,-1,5,367,EGYENI,,
44707,07-044-002,687,491,491,0,4,487,EGYENI,,
44709,07-045-001,570,424,424,0,2,422,EGYENI,,
44711,07-045-002,598,456,456,0,3,453,EGYENI,,
44713,07-046-001,890,427,427,0,9,418,EGYENI,,
44715,07-046-002,1068,594,594,0,3,591,EGYENI,,
44717,07-047-001,599,435,435,0,2,433,EGYENI,,
44719,07-047-002,641,472,471,-1,4,467,EGYENI,,
44721,07-048-001,1303,866,866,0,12,854,EGYENI,,
44723,07-048-002,1158,815,816,1,16,800,EGYENI,,
44725,07-049-001,381,233,233,0,6,227,EGYENI,,
44727,07-049-002,39,30,30,0,1,29,EGYENI,,
44729,07-049-003,682,475,475,0,7,468,EGYENI,,
44731,07-049-004,669,429,429,0,1,428,EGYENI,,
44733,07-050-001,858,533,533,0,10,523,EGYENI,,
44735,07-050-002,857,552,552,0,2,550,EGYENI,,
44737,07-050-003,759,514,514,0,5,509,EGYENI,,
44739,07-051-001,702,514,514,0,1,513,EGYENI,,
44741,07-051-002,679,488,485,-3,3,482,EGYENI,,
44743,07-051-003,749,523,520,-3,2,518,EGYENI,,
44745,07-052-001,1269,954,954,0,5,949,EGYENI,,
44747,07-053-001,1020,711,711,0,2,709,EGYENI,,
44749,07-053-002,1121,818,817,-1,5,812,EGYENI,,
44751,07-053-003,1086,823,823,0,8,815,EGYENI,,
44753,07-053-004,1163,880,880,0,2,878,EGYENI,,
44755,07-054-001,1065,797,797,0,9,788,EGYENI,,
44757,07-054-002,795,462,457,-5,2,455,EGYENI,,
44759,07-055-001,572,344,344,0,3,341,EGYENI,,
44761,07-056-001,1019,676,676,0,4,672,EGYENI,,
44763,07-056-002,958,584,584,0,8,576,EGYENI,,
44765,07-056-003,939,611,604,-7,9,595,EGYENI,,
44767,07-056-004,840,405,403,-2,4,399,EGYENI,,
44769,07-057-001,755,474,474,0,4,470,EGYENI,,
44771,07-058-001,463,260,260,0,5,255,EGYENI,,
44773,07-058-002,547,279,278,-1,5,273,EGYENI,,
44775,07-059-001,720,376,376,0,4,372,EGYENI,,
44777,07-059-002,952,544,544,0,4,540,EGYENI,,
44779,07-060-001,430,307,307,0,3,304,EGYENI,,
44781,07-061-001,665,457,456,-1,5,451,EGYENI,,
44783,07-061-002,841,603,603,0,11,592,EGYENI,,
44785,07-061-003,761,526,526,0,4,522,EGYENI,,
44787,07-061-004,745,609,609,0,5,604,EGYENI,,
44789,07-061-005,717,527,527,0,3,524,EGYENI,,
44791,07-061-006,651,523,523,0,2,521,EGYENI,,
44793,07-061-007,958,743,743,0,7,736,EGYENI,,
44795,07-061-008,575,413,413,0,4,409,EGYENI,,
44797,07-061-009,833,651,652,1,13,639,EGYENI,,
44799,07-061-010,590,477,477,0,3,474,EGYENI,,
44801,07-061-011,1126,844,844,0,10,834,EGYENI,,
62305,07-061-012,1205,950,950,0,12,938,EGYENI,,
