TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,04-004-029,EGYÜTT-PM,50
Listas,2014EP,04-004-029,DEMOKRATIKUS KOALÍCIÓ,46
Listas,2014EP,04-004-029,LMP,34
Listas,2014EP,04-004-029,A HAZA NEM ELADÓ,7
Listas,2014EP,04-004-029,SMS,2
Listas,2014EP,04-004-030,FIDESZ-KDNP,191
Listas,2014EP,04-004-030,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,04-004-030,JOBBIK,45
Listas,2014EP,04-004-030,MSZP,38
Listas,2014EP,04-004-030,EGYÜTT-PM,21
Listas,2014EP,04-004-030,LMP,17
Listas,2014EP,04-004-030,SMS,4
Listas,2014EP,04-004-030,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-031,FIDESZ-KDNP,93
Listas,2014EP,04-004-031,JOBBIK,34
Listas,2014EP,04-004-031,EGYÜTT-PM,14
Listas,2014EP,04-004-031,MSZP,13
Listas,2014EP,04-004-031,LMP,12
Listas,2014EP,04-004-031,DEMOKRATIKUS KOALÍCIÓ,9
Listas,2014EP,04-004-031,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-031,SMS,1
Listas,2014EP,04-004-032,FIDESZ-KDNP,100
Listas,2014EP,04-004-032,JOBBIK,38
Listas,2014EP,04-004-032,MSZP,18
Listas,2014EP,04-004-032,DEMOKRATIKUS KOALÍCIÓ,13
Listas,2014EP,04-004-032,EGYÜTT-PM,10
Listas,2014EP,04-004-032,LMP,5
Listas,2014EP,04-004-032,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-032,SMS,1
Listas,2014EP,04-004-033,FIDESZ-KDNP,91
Listas,2014EP,04-004-033,JOBBIK,36
Listas,2014EP,04-004-033,MSZP,26
Listas,2014EP,04-004-033,DEMOKRATIKUS KOALÍCIÓ,17
Listas,2014EP,04-004-033,EGYÜTT-PM,16
Listas,2014EP,04-004-033,LMP,15
Listas,2014EP,04-004-033,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-033,SMS,1
Listas,2014EP,04-004-034,FIDESZ-KDNP,131
Listas,2014EP,04-004-034,MSZP,36
Listas,2014EP,04-004-034,JOBBIK,28
Listas,2014EP,04-004-034,DEMOKRATIKUS KOALÍCIÓ,24
Listas,2014EP,04-004-034,LMP,16
Listas,2014EP,04-004-034,EGYÜTT-PM,14
Listas,2014EP,04-004-034,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-034,SMS,1
Listas,2014EP,04-004-035,FIDESZ-KDNP,97
Listas,2014EP,04-004-035,JOBBIK,23
Listas,2014EP,04-004-035,MSZP,15
Listas,2014EP,04-004-035,DEMOKRATIKUS KOALÍCIÓ,11
Listas,2014EP,04-004-035,LMP,10
Listas,2014EP,04-004-035,EGYÜTT-PM,8
Listas,2014EP,04-004-035,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-035,SMS,1
Listas,2014EP,04-004-036,FIDESZ-KDNP,115
Listas,2014EP,04-004-036,JOBBIK,45
Listas,2014EP,04-004-036,MSZP,18
Listas,2014EP,04-004-036,EGYÜTT-PM,15
Listas,2014EP,04-004-036,DEMOKRATIKUS KOALÍCIÓ,13
Listas,2014EP,04-004-036,LMP,11
Listas,2014EP,04-004-036,A HAZA NEM ELADÓ,6
Listas,2014EP,04-004-036,SMS,1
Listas,2014EP,04-004-037,FIDESZ-KDNP,97
Listas,2014EP,04-004-037,JOBBIK,34
Listas,2014EP,04-004-037,DEMOKRATIKUS KOALÍCIÓ,29
Listas,2014EP,04-004-037,MSZP,29
Listas,2014EP,04-004-037,LMP,23
Listas,2014EP,04-004-037,EGYÜTT-PM,17
Listas,2014EP,04-004-037,A HAZA NEM ELADÓ,5
Listas,2014EP,04-004-037,SMS,1
Listas,2014EP,04-004-038,FIDESZ-KDNP,132
Listas,2014EP,04-004-038,MSZP,39
Listas,2014EP,04-004-038,EGYÜTT-PM,36
Listas,2014EP,04-004-038,JOBBIK,28
Listas,2014EP,04-004-038,DEMOKRATIKUS KOALÍCIÓ,28
Listas,2014EP,04-004-038,A HAZA NEM ELADÓ,7
Listas,2014EP,04-004-038,LMP,4
Listas,2014EP,04-004-038,SMS,1
Listas,2014EP,04-004-039,FIDESZ-KDNP,100
Listas,2014EP,04-004-039,MSZP,43
Listas,2014EP,04-004-039,JOBBIK,37
Listas,2014EP,04-004-039,DEMOKRATIKUS KOALÍCIÓ,26
Listas,2014EP,04-004-039,LMP,15
Listas,2014EP,04-004-039,EGYÜTT-PM,13
Listas,2014EP,04-004-039,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-039,SMS,2
Listas,2014EP,04-004-040,FIDESZ-KDNP,92
Listas,2014EP,04-004-040,MSZP,40
Listas,2014EP,04-004-040,DEMOKRATIKUS KOALÍCIÓ,34
Listas,2014EP,04-004-040,JOBBIK,33
Listas,2014EP,04-004-040,EGYÜTT-PM,14
Listas,2014EP,04-004-040,LMP,9
Listas,2014EP,04-004-040,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-040,SMS,1
Listas,2014EP,04-004-041,FIDESZ-KDNP,89
Listas,2014EP,04-004-041,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,04-004-041,JOBBIK,42
Listas,2014EP,04-004-041,MSZP,35
Listas,2014EP,04-004-041,EGYÜTT-PM,30
Listas,2014EP,04-004-041,LMP,14
Listas,2014EP,04-004-041,A HAZA NEM ELADÓ,8
Listas,2014EP,04-004-041,SMS,0
Listas,2014EP,04-004-042,FIDESZ-KDNP,113
Listas,2014EP,04-004-042,JOBBIK,45
Listas,2014EP,04-004-042,MSZP,34
Listas,2014EP,04-004-042,DEMOKRATIKUS KOALÍCIÓ,25
Listas,2014EP,04-004-042,EGYÜTT-PM,13
Listas,2014EP,04-004-042,LMP,7
Listas,2014EP,04-004-042,SMS,2
Listas,2014EP,04-004-042,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-043,FIDESZ-KDNP,83
Listas,2014EP,04-004-043,JOBBIK,36
Listas,2014EP,04-004-043,DEMOKRATIKUS KOALÍCIÓ,20
Listas,2014EP,04-004-043,MSZP,16
Listas,2014EP,04-004-043,EGYÜTT-PM,15
Listas,2014EP,04-004-043,LMP,10
Listas,2014EP,04-004-043,A HAZA NEM ELADÓ,4
Listas,2014EP,04-004-043,SMS,1
Listas,2014EP,04-004-044,FIDESZ-KDNP,98
Listas,2014EP,04-004-044,JOBBIK,48
Listas,2014EP,04-004-044,MSZP,36
Listas,2014EP,04-004-044,EGYÜTT-PM,9
Listas,2014EP,04-004-044,DEMOKRATIKUS KOALÍCIÓ,8
Listas,2014EP,04-004-044,LMP,5
Listas,2014EP,04-004-044,A HAZA NEM ELADÓ,4
Listas,2014EP,04-004-044,SMS,3
Listas,2014EP,04-004-045,FIDESZ-KDNP,84
Listas,2014EP,04-004-045,JOBBIK,15
Listas,2014EP,04-004-045,MSZP,11
Listas,2014EP,04-004-045,LMP,10
Listas,2014EP,04-004-045,DEMOKRATIKUS KOALÍCIÓ,9
Listas,2014EP,04-004-045,EGYÜTT-PM,7
Listas,2014EP,04-004-045,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-045,SMS,0
Listas,2014EP,04-004-046,FIDESZ-KDNP,118
Listas,2014EP,04-004-046,JOBBIK,40
Listas,2014EP,04-004-046,MSZP,34
Listas,2014EP,04-004-046,DEMOKRATIKUS KOALÍCIÓ,25
Listas,2014EP,04-004-046,EGYÜTT-PM,12
Listas,2014EP,04-004-046,LMP,6
Listas,2014EP,04-004-046,A HAZA NEM ELADÓ,4
Listas,2014EP,04-004-046,SMS,1
Listas,2014EP,04-004-047,FIDESZ-KDNP,135
Listas,2014EP,04-004-047,JOBBIK,47
Listas,2014EP,04-004-047,MSZP,29
Listas,2014EP,04-004-047,DEMOKRATIKUS KOALÍCIÓ,15
Listas,2014EP,04-004-047,LMP,15
Listas,2014EP,04-004-047,EGYÜTT-PM,15
Listas,2014EP,04-004-047,A HAZA NEM ELADÓ,4
Listas,2014EP,04-004-047,SMS,0
Listas,2014EP,04-004-048,FIDESZ-KDNP,125
Listas,2014EP,04-004-048,JOBBIK,63
Listas,2014EP,04-004-048,DEMOKRATIKUS KOALÍCIÓ,23
Listas,2014EP,04-004-048,EGYÜTT-PM,21
Listas,2014EP,04-004-048,MSZP,19
Listas,2014EP,04-004-048,LMP,17
Listas,2014EP,04-004-048,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-048,SMS,1
Listas,2014EP,04-004-049,FIDESZ-KDNP,113
Listas,2014EP,04-004-049,JOBBIK,32
Listas,2014EP,04-004-049,DEMOKRATIKUS KOALÍCIÓ,32
Listas,2014EP,04-004-049,MSZP,23
Listas,2014EP,04-004-049,LMP,13
Listas,2014EP,04-004-049,EGYÜTT-PM,10
Listas,2014EP,04-004-049,SMS,1
Listas,2014EP,04-004-049,A HAZA NEM ELADÓ,0
Listas,2014EP,04-004-050,FIDESZ-KDNP,141
Listas,2014EP,04-004-050,JOBBIK,47
Listas,2014EP,04-004-050,DEMOKRATIKUS KOALÍCIÓ,29
Listas,2014EP,04-004-050,MSZP,25
Listas,2014EP,04-004-050,EGYÜTT-PM,18
Listas,2014EP,04-004-050,LMP,13
Listas,2014EP,04-004-050,A HAZA NEM ELADÓ,5
Listas,2014EP,04-004-050,SMS,0
Listas,2014EP,04-004-051,FIDESZ-KDNP,123
Listas,2014EP,04-004-051,JOBBIK,49
Listas,2014EP,04-004-051,DEMOKRATIKUS KOALÍCIÓ,33
Listas,2014EP,04-004-051,MSZP,17
Listas,2014EP,04-004-051,EGYÜTT-PM,9
Listas,2014EP,04-004-051,LMP,6
Listas,2014EP,04-004-051,A HAZA NEM ELADÓ,6
Listas,2014EP,04-004-051,SMS,2
Listas,2014EP,04-004-052,FIDESZ-KDNP,107
Listas,2014EP,04-004-052,JOBBIK,39
Listas,2014EP,04-004-052,MSZP,23
Listas,2014EP,04-004-052,DEMOKRATIKUS KOALÍCIÓ,11
Listas,2014EP,04-004-052,EGYÜTT-PM,10
Listas,2014EP,04-004-052,LMP,6
Listas,2014EP,04-004-052,A HAZA NEM ELADÓ,5
Listas,2014EP,04-004-052,SMS,0
Listas,2014EP,04-004-053,FIDESZ-KDNP,84
Listas,2014EP,04-004-053,JOBBIK,40
Listas,2014EP,04-004-053,MSZP,30
Listas,2014EP,04-004-053,DEMOKRATIKUS KOALÍCIÓ,25
Listas,2014EP,04-004-053,EGYÜTT-PM,18
Listas,2014EP,04-004-053,LMP,9
Listas,2014EP,04-004-053,A HAZA NEM ELADÓ,6
Listas,2014EP,04-004-053,SMS,0
Listas,2014EP,04-004-054,FIDESZ-KDNP,18
Listas,2014EP,04-004-054,JOBBIK,6
Listas,2014EP,04-004-054,DEMOKRATIKUS KOALÍCIÓ,3
Listas,2014EP,04-004-054,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-054,MSZP,1
Listas,2014EP,04-004-054,SMS,0
Listas,2014EP,04-004-054,LMP,0
Listas,2014EP,04-004-054,EGYÜTT-PM,0
Listas,2014EP,04-004-055,FIDESZ-KDNP,34
Listas,2014EP,04-004-055,JOBBIK,4
Listas,2014EP,04-004-055,MSZP,2
Listas,2014EP,04-004-055,LMP,2
Listas,2014EP,04-004-055,EGYÜTT-PM,1
Listas,2014EP,04-004-055,SMS,0
Listas,2014EP,04-004-055,DEMOKRATIKUS KOALÍCIÓ,0
Listas,2014EP,04-004-055,A HAZA NEM ELADÓ,0
Listas,2014EP,04-004-056,FIDESZ-KDNP,121
Listas,2014EP,04-004-056,JOBBIK,37
Listas,2014EP,04-004-056,DEMOKRATIKUS KOALÍCIÓ,20
Listas,2014EP,04-004-056,MSZP,15
Listas,2014EP,04-004-056,A HAZA NEM ELADÓ,13
Listas,2014EP,04-004-056,EGYÜTT-PM,12
Listas,2014EP,04-004-056,LMP,12
Listas,2014EP,04-004-056,SMS,0
Listas,2014EP,04-004-057,FIDESZ-KDNP,101
Listas,2014EP,04-004-057,JOBBIK,42
Listas,2014EP,04-004-057,DEMOKRATIKUS KOALÍCIÓ,14
Listas,2014EP,04-004-057,MSZP,13
Listas,2014EP,04-004-057,LMP,12
Listas,2014EP,04-004-057,A HAZA NEM ELADÓ,9
Listas,2014EP,04-004-057,EGYÜTT-PM,7
Listas,2014EP,04-004-057,SMS,3
Listas,2014EP,04-004-058,FIDESZ-KDNP,86
Listas,2014EP,04-004-058,JOBBIK,54
Listas,2014EP,04-004-058,MSZP,11
Listas,2014EP,04-004-058,LMP,9
Listas,2014EP,04-004-058,DEMOKRATIKUS KOALÍCIÓ,6
Listas,2014EP,04-004-058,EGYÜTT-PM,4
Listas,2014EP,04-004-058,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-058,SMS,1
Listas,2014EP,04-004-059,FIDESZ-KDNP,58
Listas,2014EP,04-004-059,JOBBIK,31
Listas,2014EP,04-004-059,DEMOKRATIKUS KOALÍCIÓ,23
Listas,2014EP,04-004-059,MSZP,11
Listas,2014EP,04-004-059,LMP,9
Listas,2014EP,04-004-059,EGYÜTT-PM,5
Listas,2014EP,04-004-059,A HAZA NEM ELADÓ,4
Listas,2014EP,04-004-059,SMS,1
Listas,2014EP,04-004-060,FIDESZ-KDNP,126
Listas,2014EP,04-004-060,JOBBIK,45
Listas,2014EP,04-004-060,EGYÜTT-PM,18
Listas,2014EP,04-004-060,MSZP,17
Listas,2014EP,04-004-060,DEMOKRATIKUS KOALÍCIÓ,17
Listas,2014EP,04-004-060,LMP,12
Listas,2014EP,04-004-060,A HAZA NEM ELADÓ,6
Listas,2014EP,04-004-060,SMS,1
Listas,2014EP,04-004-061,FIDESZ-KDNP,42
Listas,2014EP,04-004-061,JOBBIK,9
Listas,2014EP,04-004-061,EGYÜTT-PM,4
Listas,2014EP,04-004-061,DEMOKRATIKUS KOALÍCIÓ,3
Listas,2014EP,04-004-061,MSZP,3
Listas,2014EP,04-004-061,LMP,1
Listas,2014EP,04-004-061,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-061,SMS,0
Listas,2014EP,04-004-062,FIDESZ-KDNP,100
Listas,2014EP,04-004-062,JOBBIK,54
Listas,2014EP,04-004-062,EGYÜTT-PM,34
Listas,2014EP,04-004-062,MSZP,31
Listas,2014EP,04-004-062,DEMOKRATIKUS KOALÍCIÓ,22
Listas,2014EP,04-004-062,LMP,19
Listas,2014EP,04-004-062,A HAZA NEM ELADÓ,5
Listas,2014EP,04-004-062,SMS,1
Listas,2014EP,04-004-063,FIDESZ-KDNP,135
Listas,2014EP,04-004-063,JOBBIK,45
Listas,2014EP,04-004-063,MSZP,15
Listas,2014EP,04-004-063,EGYÜTT-PM,13
Listas,2014EP,04-004-063,LMP,11
Listas,2014EP,04-004-063,DEMOKRATIKUS KOALÍCIÓ,8
Listas,2014EP,04-004-063,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-063,SMS,1
Listas,2014EP,04-004-064,FIDESZ-KDNP,127
Listas,2014EP,04-004-064,JOBBIK,55
Listas,2014EP,04-004-064,EGYÜTT-PM,24
Listas,2014EP,04-004-064,LMP,18
Listas,2014EP,04-004-064,DEMOKRATIKUS KOALÍCIÓ,16
Listas,2014EP,04-004-064,MSZP,14
Listas,2014EP,04-004-064,A HAZA NEM ELADÓ,3
Listas,2014EP,04-004-064,SMS,2
Listas,2014EP,04-004-065,FIDESZ-KDNP,63
Listas,2014EP,04-004-065,JOBBIK,41
Listas,2014EP,04-004-065,DEMOKRATIKUS KOALÍCIÓ,20
Listas,2014EP,04-004-065,MSZP,17
Listas,2014EP,04-004-065,EGYÜTT-PM,12
Listas,2014EP,04-004-065,LMP,11
Listas,2014EP,04-004-065,A HAZA NEM ELADÓ,2
Listas,2014EP,04-004-065,SMS,1
Listas,2014EP,04-004-066,FIDESZ-KDNP,64
Listas,2014EP,04-004-066,JOBBIK,28
Listas,2014EP,04-004-066,DEMOKRATIKUS KOALÍCIÓ,14
Listas,2014EP,04-004-066,MSZP,11
Listas,2014EP,04-004-066,EGYÜTT-PM,7
Listas,2014EP,04-004-066,LMP,4
Listas,2014EP,04-004-066,SMS,3
Listas,2014EP,04-004-066,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-067,FIDESZ-KDNP,61
Listas,2014EP,04-004-067,JOBBIK,35
Listas,2014EP,04-004-067,MSZP,13
Listas,2014EP,04-004-067,DEMOKRATIKUS KOALÍCIÓ,11
Listas,2014EP,04-004-067,EGYÜTT-PM,9
Listas,2014EP,04-004-067,LMP,8
Listas,2014EP,04-004-067,SMS,1
Listas,2014EP,04-004-067,A HAZA NEM ELADÓ,1
Listas,2014EP,04-004-068,FIDESZ-KDNP,90
Listas,2014EP,04-004-068,JOBBIK,44
Listas,2014EP,04-004-068,LMP,10
Listas,2014EP,04-004-068,EGYÜTT-PM,10
Listas,2014EP,04-004-068,A HAZA NEM ELADÓ,9
Listas,2014EP,04-004-068,DEMOKRATIKUS KOALÍCIÓ,7
Listas,2014EP,04-004-068,MSZP,4
Listas,2014EP,04-004-068,SMS,0
Listas,2014EP,04-005-001,FIDESZ-KDNP,66
Listas,2014EP,04-005-001,JOBBIK,29
Listas,2014EP,04-005-001,MSZP,17
Listas,2014EP,04-005-001,LMP,8
Listas,2014EP,04-005-001,DEMOKRATIKUS KOALÍCIÓ,3
Listas,2014EP,04-005-001,A HAZA NEM ELADÓ,2
Listas,2014EP,04-005-001,EGYÜTT-PM,2
Listas,2014EP,04-005-001,SMS,0
Listas,2014EP,04-005-002,FIDESZ-KDNP,87
Listas,2014EP,04-005-002,JOBBIK,30
Listas,2014EP,04-005-002,DEMOKRATIKUS KOALÍCIÓ,4
Listas,2014EP,04-005-002,MSZP,3
Listas,2014EP,04-005-002,EGYÜTT-PM,2
Listas,2014EP,04-005-002,SMS,1
Listas,2014EP,04-005-002,A HAZA NEM ELADÓ,1
Listas,2014EP,04-005-002,LMP,1
Listas,2014EP,04-005-003,FIDESZ-KDNP,73
Listas,2014EP,04-005-003,JOBBIK,23
Listas,2014EP,04-005-003,MSZP,9
Listas,2014EP,04-005-003,DEMOKRATIKUS KOALÍCIÓ,4
Listas,2014EP,04-005-003,EGYÜTT-PM,1
Listas,2014EP,04-005-003,SMS,1
Listas,2014EP,04-005-003,LMP,1
Listas,2014EP,04-005-003,A HAZA NEM ELADÓ,0
Listas,2014EP,04-006-001,FIDESZ-KDNP,97
Listas,2014EP,04-006-001,JOBBIK,45
Listas,2014EP,04-006-001,MSZP,24
Listas,2014EP,04-006-001,DEMOKRATIKUS KOALÍCIÓ,7
Listas,2014EP,04-006-001,A HAZA NEM ELADÓ,5
Listas,2014EP,04-006-001,LMP,5
Listas,2014EP,04-006-001,EGYÜTT-PM,4
Listas,2014EP,04-006-001,SMS,3
Listas,2014EP,04-006-002,FIDESZ-KDNP,73
Listas,2014EP,04-006-002,JOBBIK,27
Listas,2014EP,04-006-002,MSZP,19
Listas,2014EP,04-006-002,DEMOKRATIKUS KOALÍCIÓ,12
Listas,2014EP,04-006-002,LMP,11
Listas,2014EP,04-006-002,EGYÜTT-PM,3
Listas,2014EP,04-006-002,SMS,1
Listas,2014EP,04-006-002,A HAZA NEM ELADÓ,1
Listas,2014EP,04-006-003,FIDESZ-KDNP,78
Listas,2014EP,04-006-003,JOBBIK,30
Listas,2014EP,04-006-003,MSZP,10
Listas,2014EP,04-006-003,DEMOKRATIKUS KOALÍCIÓ,6
Listas,2014EP,04-006-003,LMP,1
Listas,2014EP,04-006-003,EGYÜTT-PM,1
Listas,2014EP,04-006-003,SMS,0
Listas,2014EP,04-006-003,A HAZA NEM ELADÓ,0
Listas,2014EP,04-006-004,FIDESZ-KDNP,75
Listas,2014EP,04-006-004,JOBBIK,37
Listas,2014EP,04-006-004,MSZP,21
Listas,2014EP,04-006-004,DEMOKRATIKUS KOALÍCIÓ,9
Listas,2014EP,04-006-004,LMP,5
Listas,2014EP,04-006-004,EGYÜTT-PM,4
Listas,2014EP,04-006-004,A HAZA NEM ELADÓ,1
Listas,2014EP,04-006-004,SMS,1
Listas,2014EP,04-006-005,FIDESZ-KDNP,109
Listas,2014EP,04-006-005,JOBBIK,37
Listas,2014EP,04-006-005,MSZP,22
Listas,2014EP,04-006-005,DEMOKRATIKUS KOALÍCIÓ,11
Listas,2014EP,04-006-005,LMP,3
Listas,2014EP,04-006-005,EGYÜTT-PM,2
Listas,2014EP,04-006-005,A HAZA NEM ELADÓ,2
Listas,2014EP,04-006-005,SMS,0
Listas,2014EP,04-006-006,FIDESZ-KDNP,98
Listas,2014EP,04-006-006,JOBBIK,47
Listas,2014EP,04-006-006,MSZP,15
Listas,2014EP,04-006-006,LMP,6
Listas,2014EP,04-006-006,EGYÜTT-PM,4
Listas,2014EP,04-006-006,DEMOKRATIKUS KOALÍCIÓ,3
Listas,2014EP,04-006-006,A HAZA NEM ELADÓ,3
Listas,2014EP,04-006-006,SMS,0
Listas,2014EP,04-006-007,FIDESZ-KDNP,14
Listas,2014EP,04-006-007,JOBBIK,7
Listas,2014EP,04-006-007,MSZP,1
Listas,2014EP,04-006-007,DEMOKRATIKUS KOALÍCIÓ,1
Listas,2014EP,04-006-007,SMS,0
Listas,2014EP,04-006-007,LMP,0
Listas,2014EP,04-006-007,A HAZA NEM ELADÓ,0
Listas,2014EP,04-006-007,EGYÜTT-PM,0
Listas,2014EP,04-007-001,FIDESZ-KDNP,113
Listas,2014EP,04-007-001,JOBBIK,35
Listas,2014EP,04-007-001,MSZP,24
Listas,2014EP,04-007-001,DEMOKRATIKUS KOALÍCIÓ,9
Listas,2014EP,04-007-001,A HAZA NEM ELADÓ,3
Listas,2014EP,04-007-001,EGYÜTT-PM,2
Listas,2014EP,04-007-001,SMS,2
Listas,2014EP,04-007-001,LMP,2
Listas,2014EP,04-008-001,FIDESZ-KDNP,203
Listas,2014EP,04-008-001,JOBBIK,38
Listas,2014EP,04-008-001,MSZP,20
Listas,2014EP,04-008-001,DEMOKRATIKUS KOALÍCIÓ,10
Listas,2014EP,04-008-001,LMP,7
Listas,2014EP,04-008-001,EGYÜTT-PM,3
Listas,2014EP,04-008-001,A HAZA NEM ELADÓ,1
Listas,2014EP,04-008-001,SMS,1
Listas,2014EP,04-009-001,FIDESZ-KDNP,100
Listas,2014EP,04-009-001,JOBBIK,30
Listas,2014EP,04-009-001,MSZP,24
Listas,2014EP,04-009-001,DEMOKRATIKUS KOALÍCIÓ,10
Listas,2014EP,04-009-001,EGYÜTT-PM,3
Listas,2014EP,04-009-001,LMP,1
Listas,2014EP,04-009-001,A HAZA NEM ELADÓ,0
Listas,2014EP,04-009-001,SMS,0
Listas,2014EP,04-009-002,FIDESZ-KDNP,121
Listas,2014EP,04-009-002,JOBBIK,32
Listas,2014EP,04-009-002,MSZP,19
Listas,2014EP,04-009-002,DEMOKRATIKUS KOALÍCIÓ,5
Listas,2014EP,04-009-002,LMP,5
Listas,2014EP,04-009-002,EGYÜTT-PM,3
Listas,2014EP,04-009-002,A HAZA NEM ELADÓ,1
Listas,2014EP,04-009-002,SMS,0
Listas,2014EP,04-010-001,FIDESZ-KDNP,121
Listas,2014EP,04-010-001,JOBBIK,38
Listas,2014EP,04-010-001,MSZP,29
Listas,2014EP,04-010-001,EGYÜTT-PM,12
Listas,2014EP,04-010-001,DEMOKRATIKUS KOALÍCIÓ,8
Listas,2014EP,04-010-001,LMP,6
Listas,2014EP,04-010-001,A HAZA NEM ELADÓ,2
Listas,2014EP,04-010-001,SMS,1
Listas,2014EP,04-010-002,FIDESZ-KDNP,102
Listas,2014EP,04-010-002,JOBBIK,38
Listas,2014EP,04-010-002,MSZP,22
Listas,2014EP,04-010-002,DEMOKRATIKUS KOALÍCIÓ,17
Listas,2014EP,04-010-002,A HAZA NEM ELADÓ,5
Listas,2014EP,04-010-002,LMP,4
Listas,2014EP,04-010-002,EGYÜTT-PM,1
Listas,2014EP,04-010-002,SMS,0
Listas,2014EP,04-010-003,FIDESZ-KDNP,10
Listas,2014EP,04-010-003,JOBBIK,3
Listas,2014EP,04-010-003,LMP,2
Listas,2014EP,04-010-003,EGYÜTT-PM,1
Listas,2014EP,04-010-003,MSZP,1
Listas,2014EP,04-010-003,DEMOKRATIKUS KOALÍCIÓ,1
Listas,2014EP,04-010-003,SMS,0
Listas,2014EP,04-010-003,A HAZA NEM ELADÓ,0
Listas,2014EP,04-011-001,FIDESZ-KDNP,46
Listas,2014EP,04-011-001,JOBBIK,12
Listas,2014EP,04-011-001,DEMOKRATIKUS KOALÍCIÓ,7
Listas,2014EP,04-011-001,MSZP,7
Listas,2014EP,04-011-001,EGYÜTT-PM,2
Listas,2014EP,04-011-001,A HAZA NEM ELADÓ,1
Listas,2014EP,04-011-001,LMP,1
Listas,2014EP,04-011-001,SMS,0
Listas,2014EP,04-012-001,FIDESZ-KDNP,156
Listas,2014EP,04-012-001,JOBBIK,50
Listas,2014EP,04-012-001,MSZP,17
Listas,2014EP,04-012-001,LMP,10
Listas,2014EP,04-012-001,EGYÜTT-PM,8
Listas,2014EP,04-012-001,DEMOKRATIKUS KOALÍCIÓ,5
Listas,2014EP,04-012-001,A HAZA NEM ELADÓ,2
Listas,2014EP,04-012-001,SMS,1
Listas,2014EP,04-012-002,FIDESZ-KDNP,100
Listas,2014EP,04-012-002,JOBBIK,68
Listas,2014EP,04-012-002,MSZP,26
Listas,2014EP,04-012-002,DEMOKRATIKUS KOALÍCIÓ,9
Listas,2014EP,04-012-002,LMP,4
Listas,2014EP,04-012-002,EGYÜTT-PM,3
Listas,2014EP,04-012-002,A HAZA NEM ELADÓ,2
Listas,2014EP,04-012-002,SMS,0
Listas,2014EP,04-013-001,FIDESZ-KDNP,63
Listas,2014EP,04-013-001,JOBBIK,23
Listas,2014EP,04-013-001,MSZP,9
Listas,2014EP,04-013-001,DEMOKRATIKUS KOALÍCIÓ,5
Listas,2014EP,04-013-001,LMP,5
Listas,2014EP,04-013-001,EGYÜTT-PM,2
Listas,2014EP,04-013-001,SMS,0
Listas,2014EP,04-013-001,A HAZA NEM ELADÓ,0
Listas,2014EP,04-014-001,FIDESZ-KDNP,109
Listas,2014EP,04-014-001,JOBBIK,41
Listas,2014EP,04-014-001,DEMOKRATIKUS KOALÍCIÓ,34
Listas,2014EP,04-014-001,MSZP,24
Listas,2014EP,04-014-001,LMP,12
Listas,2014EP,04-014-001,EGYÜTT-PM,3
Listas,2014EP,04-014-001,A HAZA NEM ELADÓ,3
Listas,2014EP,04-014-001,SMS,2
Listas,2014EP,04-014-002,FIDESZ-KDNP,60
Listas,2014EP,04-014-002,JOBBIK,31
Listas,2014EP,04-014-002,MSZP,21
Listas,2014EP,04-014-002,DEMOKRATIKUS KOALÍCIÓ,19
Listas,2014EP,04-014-002,EGYÜTT-PM,3
Listas,2014EP,04-014-002,LMP,2
Listas,2014EP,04-014-002,A HAZA NEM ELADÓ,1
Listas,2014EP,04-014-002,SMS,0
Listas,2014EP,04-014-003,FIDESZ-KDNP,96
Listas,2014EP,04-014-003,JOBBIK,41
Listas,2014EP,04-014-003,DEMOKRATIKUS KOALÍCIÓ,20
Listas,2014EP,04-014-003,MSZP,14
Listas,2014EP,04-014-003,EGYÜTT-PM,9
Listas,2014EP,04-014-003,LMP,7
Listas,2014EP,04-014-003,A HAZA NEM ELADÓ,2
Listas,2014EP,04-014-003,SMS,0
Listas,2014EP,04-014-004,FIDESZ-KDNP,81
Listas,2014EP,04-014-004,JOBBIK,28
Listas,2014EP,04-014-004,MSZP,23
Listas,2014EP,04-014-004,DEMOKRATIKUS KOALÍCIÓ,18
Listas,2014EP,04-014-004,EGYÜTT-PM,4
Listas,2014EP,04-014-004,LMP,4
Listas,2014EP,04-014-004,A HAZA NEM ELADÓ,1
