SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES
16-046-001,16,SZABOLCS-SZATMÁR-BEREG,046,Géberjén
16-047-001,16,SZABOLCS-SZATMÁR-BEREG,047,Gégény
16-047-002,16,SZABOLCS-SZATMÁR-BEREG,047,Gégény
16-048-001,16,SZABOLCS-SZATMÁR-BEREG,048,Gulács
16-049-001,16,SZABOLCS-SZATMÁR-BEREG,049,Gyõröcske
16-050-001,16,SZABOLCS-SZATMÁR-BEREG,050,Gyõrtelek
16-051-001,16,SZABOLCS-SZATMÁR-BEREG,051,Gyulaháza
16-051-002,16,SZABOLCS-SZATMÁR-BEREG,051,Gyulaháza
16-052-001,16,SZABOLCS-SZATMÁR-BEREG,052,Gyügye
16-053-001,16,SZABOLCS-SZATMÁR-BEREG,053,Gyüre
16-054-001,16,SZABOLCS-SZATMÁR-BEREG,054,Hermánszeg
16-055-001,16,SZABOLCS-SZATMÁR-BEREG,055,Hetefejércse
16-056-001,16,SZABOLCS-SZATMÁR-BEREG,056,Hodász
16-056-002,16,SZABOLCS-SZATMÁR-BEREG,056,Hodász
16-056-003,16,SZABOLCS-SZATMÁR-BEREG,056,Hodász
16-057-001,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-057-002,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-057-003,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-057-004,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-057-005,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-057-006,16,SZABOLCS-SZATMÁR-BEREG,057,Ibrány
16-058-001,16,SZABOLCS-SZATMÁR-BEREG,058,Ilk
16-059-001,16,SZABOLCS-SZATMÁR-BEREG,059,Jánd
16-060-001,16,SZABOLCS-SZATMÁR-BEREG,060,Jánkmajtis
16-061-001,16,SZABOLCS-SZATMÁR-BEREG,061,Jármi
16-062-001,16,SZABOLCS-SZATMÁR-BEREG,062,Jéke
16-063-001,16,SZABOLCS-SZATMÁR-BEREG,063,Kállósemjén
16-063-002,16,SZABOLCS-SZATMÁR-BEREG,063,Kállósemjén
16-063-003,16,SZABOLCS-SZATMÁR-BEREG,063,Kállósemjén
16-063-004,16,SZABOLCS-SZATMÁR-BEREG,063,Kállósemjén
16-063-005,16,SZABOLCS-SZATMÁR-BEREG,063,Kállósemjén
16-064-001,16,SZABOLCS-SZATMÁR-BEREG,064,Kálmánháza
16-064-002,16,SZABOLCS-SZATMÁR-BEREG,064,Kálmánháza
16-064-003,16,SZABOLCS-SZATMÁR-BEREG,064,Kálmánháza
16-065-001,16,SZABOLCS-SZATMÁR-BEREG,065,Kántorjánosi
16-065-002,16,SZABOLCS-SZATMÁR-BEREG,065,Kántorjánosi
16-066-001,16,SZABOLCS-SZATMÁR-BEREG,066,Kemecse
16-066-002,16,SZABOLCS-SZATMÁR-BEREG,066,Kemecse
16-066-003,16,SZABOLCS-SZATMÁR-BEREG,066,Kemecse
16-066-004,16,SZABOLCS-SZATMÁR-BEREG,066,Kemecse
16-067-001,16,SZABOLCS-SZATMÁR-BEREG,067,Kék
16-067-002,16,SZABOLCS-SZATMÁR-BEREG,067,Kék
16-068-001,16,SZABOLCS-SZATMÁR-BEREG,068,Kékcse
16-068-002,16,SZABOLCS-SZATMÁR-BEREG,068,Kékcse
16-069-001,16,SZABOLCS-SZATMÁR-BEREG,069,Kérsemjén
16-070-001,16,SZABOLCS-SZATMÁR-BEREG,070,Kisar
16-071-001,16,SZABOLCS-SZATMÁR-BEREG,071,Kishódos
16-072-001,16,SZABOLCS-SZATMÁR-BEREG,072,Kisléta
16-073-001,16,SZABOLCS-SZATMÁR-BEREG,073,Kisnamény
16-074-001,16,SZABOLCS-SZATMÁR-BEREG,074,Kispalád
16-075-001,16,SZABOLCS-SZATMÁR-BEREG,075,Kisszekeres
16-076-001,16,SZABOLCS-SZATMÁR-BEREG,076,Kisvarsány
16-077-001,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-002,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-003,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-004,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-005,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-006,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-007,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-008,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-009,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-010,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-011,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-012,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-013,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-014,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-015,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-077-016,16,SZABOLCS-SZATMÁR-BEREG,077,Kisvárda
16-078-001,16,SZABOLCS-SZATMÁR-BEREG,078,Kocsord
16-078-002,16,SZABOLCS-SZATMÁR-BEREG,078,Kocsord
16-078-003,16,SZABOLCS-SZATMÁR-BEREG,078,Kocsord
16-079-001,16,SZABOLCS-SZATMÁR-BEREG,079,Komlódtótfalu
16-080-001,16,SZABOLCS-SZATMÁR-BEREG,080,Komoró
16-081-001,16,SZABOLCS-SZATMÁR-BEREG,081,Kótaj
16-081-002,16,SZABOLCS-SZATMÁR-BEREG,081,Kótaj
16-081-003,16,SZABOLCS-SZATMÁR-BEREG,081,Kótaj
16-082-001,16,SZABOLCS-SZATMÁR-BEREG,082,Kölcse
16-083-001,16,SZABOLCS-SZATMÁR-BEREG,083,Kömörõ
16-084-001,16,SZABOLCS-SZATMÁR-BEREG,084,Laskod
16-085-001,16,SZABOLCS-SZATMÁR-BEREG,085,Levelek
16-085-002,16,SZABOLCS-SZATMÁR-BEREG,085,Levelek
16-085-003,16,SZABOLCS-SZATMÁR-BEREG,085,Levelek
16-086-001,16,SZABOLCS-SZATMÁR-BEREG,086,Lónya
16-087-001,16,SZABOLCS-SZATMÁR-BEREG,087,Lövõpetri
16-088-001,16,SZABOLCS-SZATMÁR-BEREG,088,Magosliget
16-089-001,16,SZABOLCS-SZATMÁR-BEREG,089,Magy
16-090-001,16,SZABOLCS-SZATMÁR-BEREG,090,Mánd
16-091-001,16,SZABOLCS-SZATMÁR-BEREG,091,Mándok
16-091-002,16,SZABOLCS-SZATMÁR-BEREG,091,Mándok
16-091-003,16,SZABOLCS-SZATMÁR-BEREG,091,Mándok
16-091-004,16,SZABOLCS-SZATMÁR-BEREG,091,Mándok
16-092-001,16,SZABOLCS-SZATMÁR-BEREG,092,Máriapócs
16-092-002,16,SZABOLCS-SZATMÁR-BEREG,092,Máriapócs
16-093-001,16,SZABOLCS-SZATMÁR-BEREG,093,Márokpapi
16-094-001,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-002,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-003,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-004,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-005,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-006,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-007,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-008,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-009,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-010,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-011,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-012,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-013,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-014,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-015,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-094-016,16,SZABOLCS-SZATMÁR-BEREG,094,Mátészalka
16-095-001,16,SZABOLCS-SZATMÁR-BEREG,095,Mátyus
16-096-001,16,SZABOLCS-SZATMÁR-BEREG,096,Mezõladány
16-097-001,16,SZABOLCS-SZATMÁR-BEREG,097,Méhtelek
16-098-001,16,SZABOLCS-SZATMÁR-BEREG,098,Mérk
16-098-002,16,SZABOLCS-SZATMÁR-BEREG,098,Mérk
16-099-001,16,SZABOLCS-SZATMÁR-BEREG,099,Milota
16-100-001,16,SZABOLCS-SZATMÁR-BEREG,100,Nagyar
16-101-001,16,SZABOLCS-SZATMÁR-BEREG,101,Nagycserkesz
16-101-002,16,SZABOLCS-SZATMÁR-BEREG,101,Nagycserkesz
16-101-003,16,SZABOLCS-SZATMÁR-BEREG,101,Nagycserkesz
16-102-001,16,SZABOLCS-SZATMÁR-BEREG,102,Nagydobos
16-102-002,16,SZABOLCS-SZATMÁR-BEREG,102,Nagydobos
16-103-001,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-103-002,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-103-003,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-103-004,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-103-005,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-103-006,16,SZABOLCS-SZATMÁR-BEREG,103,Nagyecsed
16-104-001,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-104-002,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-104-003,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-104-004,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-104-005,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-104-006,16,SZABOLCS-SZATMÁR-BEREG,104,Nagyhalász
16-105-001,16,SZABOLCS-SZATMÁR-BEREG,105,Nagyhódos
16-106-001,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-002,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-003,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-004,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-005,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-006,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-007,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-106-008,16,SZABOLCS-SZATMÁR-BEREG,106,Nagykálló
16-107-001,16,SZABOLCS-SZATMÁR-BEREG,107,Nagyszekeres
16-108-001,16,SZABOLCS-SZATMÁR-BEREG,108,Nagyvarsány
16-109-001,16,SZABOLCS-SZATMÁR-BEREG,109,Napkor
16-109-002,16,SZABOLCS-SZATMÁR-BEREG,109,Napkor
16-109-003,16,SZABOLCS-SZATMÁR-BEREG,109,Napkor
16-110-001,16,SZABOLCS-SZATMÁR-BEREG,110,Nábrád
16-111-001,16,SZABOLCS-SZATMÁR-BEREG,111,Nemesborzova
16-112-001,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-002,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-003,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-004,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-005,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-006,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-007,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-112-008,16,SZABOLCS-SZATMÁR-BEREG,112,Nyírbátor
16-113-001,16,SZABOLCS-SZATMÁR-BEREG,113,Nyírbéltek
16-113-002,16,SZABOLCS-SZATMÁR-BEREG,113,Nyírbéltek
16-113-003,16,SZABOLCS-SZATMÁR-BEREG,113,Nyírbéltek
16-114-001,16,SZABOLCS-SZATMÁR-BEREG,114,Nyírbogát
16-114-002,16,SZABOLCS-SZATMÁR-BEREG,114,Nyírbogát
16-114-003,16,SZABOLCS-SZATMÁR-BEREG,114,Nyírbogát
16-115-001,16,SZABOLCS-SZATMÁR-BEREG,115,Nyírbogdány
16-115-002,16,SZABOLCS-SZATMÁR-BEREG,115,Nyírbogdány
16-115-003,16,SZABOLCS-SZATMÁR-BEREG,115,Nyírbogdány
16-116-001,16,SZABOLCS-SZATMÁR-BEREG,116,Nyírcsaholy
16-116-002,16,SZABOLCS-SZATMÁR-BEREG,116,Nyírcsaholy
16-117-001,16,SZABOLCS-SZATMÁR-BEREG,117,Nyírcsászári
16-118-001,16,SZABOLCS-SZATMÁR-BEREG,118,Nyírderzs
16-119-001,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-002,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-003,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-004,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-005,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-006,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-007,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-008,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-009,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-010,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-011,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-012,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-013,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-014,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-015,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-016,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-017,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-018,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-019,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-020,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-021,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-022,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-023,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-024,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-025,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-026,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-027,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-028,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-029,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-030,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-031,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-032,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-033,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-034,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-035,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-036,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-037,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-038,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-039,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-040,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-041,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-042,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-043,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-044,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-045,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-046,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-047,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-048,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-049,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-050,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
16-119-051,16,SZABOLCS-SZATMÁR-BEREG,119,Nyíregyháza
